cell_id,family,n,overrides,coverage,completion_rate_mean,control_completion_rate_mean,task_success_rate_mean,control_task_success_rate_mean,shared_submission_rate_mean,control_shared_submission_rate_mean,total_writes_mean,control_total_writes_mean,post_intervention_writes_mean,control_post_intervention_writes_mean,displacements_mean,control_displacements_mean,removed_pages_mean,control_removed_pages_mean,useful_reads_mean,control_useful_reads_mean,screen_agreement_mean,control_screen_agreement_mean,screen_comparable_pairs_mean,control_screen_comparable_pairs_mean,alarm_runs,alarm_rate,alarm_wilson_low,alarm_wilson_high,control_alarm_runs,zero_write_control_runs,disrupted_works,relocated_works,displaced_works,evasion_learned,displaced_per_disrupted,displaced_per_relocated
moderation-000,moderation,200,"{""moderation_policy"": ""none"", ""relocation_mode"": ""endogenous""}",1.0,0.9141145833333333,0.9141145833333333,0.8243489583333333,0.8243489583333333,0.35075520833333335,0.35075520833333335,106.755,106.755,49.655,49.655,0.0,0.0,0.0,0.0,67.345,67.345,0.8480226472807126,0.8480226472807126,1042.625,1042.625,156,0.78,0.7176107720803744,0.8318354646053661,156,0,0,0,0,0,,
moderation-001,moderation,200,"{""moderation_policy"": ""none"", ""relocation_mode"": ""forced""}",1.0,0.9141145833333333,0.9141145833333333,0.8243489583333333,0.8243489583333333,0.35075520833333335,0.35075520833333335,106.755,106.755,49.655,49.655,0.0,0.0,0.0,0.0,67.345,67.345,0.8480226472807126,0.8480226472807126,1042.625,1042.625,156,0.78,0.7176107720803744,0.8318354646053661,156,0,0,0,0,0,,
moderation-002,moderation,200,"{""moderation_policy"": ""ordered"", ""relocation_mode"": ""endogenous""}",1.0,0.9105208333333333,0.9141145833333333,0.8206510416666667,0.8243489583333333,0.34041666666666665,0.35075520833333335,103.645,106.755,46.545,49.655,10.605,0.0,16.41,0.0,65.36,67.345,0.8479112978148967,0.8480226472807126,1031.635,1042.625,155,0.775,0.7122575346140798,0.8273771621308439,156,0,5719,4076,2121,2710,0.3708690330477356,0.5203631010794897
moderation-003,moderation,200,"{""moderation_policy"": ""ordered"", ""relocation_mode"": ""forced""}",1.0,0.9109895833333332,0.9141145833333333,0.8207552083333333,0.8243489583333333,0.340859375,0.35075520833333335,103.68,106.755,46.58,49.655,10.945,0.0,16.445,0.0,65.445,67.345,0.8474811423156534,0.8480226472807126,1033.065,1042.625,155,0.775,0.7122575346140798,0.8273771621308439,156,0,5735,5735,2189,2711,0.38169136878814297,0.38169136878814297
moderation-004,moderation,200,"{""moderation_policy"": ""random"", ""relocation_mode"": ""endogenous""}",1.0,0.9099479166666667,0.9141145833333333,0.8204166666666667,0.8243489583333333,0.3411197916666666,0.35075520833333335,104.315,106.755,47.215,49.655,8.265,0.0,10.845,0.0,65.495,67.345,0.8482549680963696,0.8480226472807126,1029.89,1042.625,156,0.78,0.7176107720803744,0.8318354646053661,156,0,4269,3058,1653,0,0.3872101194659171,0.5405493786788751
moderation-005,moderation,200,"{""moderation_policy"": ""random"", ""relocation_mode"": ""forced""}",1.0,0.910859375,0.9141145833333333,0.8210677083333333,0.8243489583333333,0.3421875,0.35075520833333335,104.425,106.755,47.325,49.655,8.67,0.0,10.805,0.0,65.7,67.345,0.8480122029006891,0.8480226472807126,1032.51,1042.625,157,0.785,0.7229757022632792,0.836282074363278,156,0,4230,4230,1734,0,0.4099290780141844,0.4099290780141844
