size,n_internal_edges,density,k_core,reciprocity,reciprocity_z,pvalue,members_sample
187,5049,27.0,1,0.5217,3.7,0.0196,"[""103.75"", ""104.209"", ""104.210"", ""104.40"", ""104.42"", ""104.43"", ""104.45"", ""107.189""]"
79,3358,42.5063,35,0.6736,4.203,0.0196,"[""104.209"", ""104.210"", ""104.42"", ""104.43"", ""130.131"", ""132.196"", ""135.119"", ""135.232""]"
