mode,detection,write_pref,side_defender_error,seed,epoch,reset,mean_infection,max_infection,cache_corruption,tier3_poisoning,promotion_accuracy,side_teardown,side_active,side_teardown_count,side_sweep_count,discovered_fraction,side_writes,sanctioned_writes,ungoverned_fraction,side_cache_corruption,side_entries,evader_fraction,population_attention,chosen_attention,substrate_gap,mean_side_value,side_host_users
deletion,0.05,0.7,0.0,42,19,False,0.19190479956618958,0.22296181996657413,0.0,0.6333333333333333,0.40476190476190477,True,True,5,0,1.0,27,12,0.6923076923076923,0.55,214,0.0,0.065,0.024,-0.041,0.0,"[5, 4, 0, 1]"
deletion,0.05,0.7,0.0,42,20,False,0.20107145681749933,0.23269956236700684,0.0,0.6263736263736264,0.40625,True,True,6,0,1.0,35,9,0.7954545454545454,0.625,247,0.0,0.065,0.004,-0.061,0.0,"[6, 4, 0, 0]"
deletion,0.05,0.7,0.0,42,21,False,0.22491073547026735,0.2620246717752551,0.0,0.631578947368421,0.4015151515151515,False,True,6,0,1.0,27,15,0.6428571428571429,0.6,274,0.0,0.065,0.004,-0.061,0.0,"[6, 4, 0, 0]"
deletion,0.05,0.7,0.0,42,22,False,0.23832590874555765,0.28401850383144134,0.0,0.6407766990291263,0.39285714285714285,False,True,6,0,1.0,25,15,0.625,0.475,299,0.0,0.065,0.004,-0.061,0.0,"[6, 4, 0, 0]"
deletion,0.05,0.7,0.0,42,23,False,0.23142300298773968,0.288013877873581,0.0,0.6415094339622641,0.38620689655172413,True,True,7,0,1.0,34,9,0.7906976744186046,0.45,263,0.0,0.065,0.026000000000000002,-0.039,0.0,"[7, 1, 1, 1]"
deletion,0.05,0.7,0.0,42,24,False,0.21374582366937617,0.2259079318865991,0.0,0.6422018348623854,0.37748344370860926,False,True,7,0,1.0,20,17,0.5405405405405406,0.5,283,0.0,0.065,0.026000000000000002,-0.039,0.0,"[7, 1, 1, 1]"
deletion,0.05,0.7,0.0,42,25,False,0.2183450820377464,0.28700780630388933,0.0,0.6428571428571429,0.3670886075949367,False,True,7,0,1.0,28,16,0.6363636363636364,0.52,311,0.0,0.065,0.026000000000000002,-0.039,0.0,"[7, 1, 1, 1]"
deletion,0.05,0.7,0.0,42,26,False,0.23369928771878598,0.340255854727917,0.0,0.6521739130434783,0.3575757575757576,False,True,7,0,1.0,32,10,0.7619047619047619,0.5161290322580645,343,0.0,0.065,0.026000000000000002,-0.039,0.0,"[7, 1, 1, 1]"
deletion,0.05,0.7,0.0,42,27,False,0.24104827531289902,0.33019189104593777,0.0,0.656,0.35260115606936415,False,True,7,0,1.0,23,10,0.696969696969697,0.5588235294117647,366,0.0,0.065,0.026000000000000002,-0.039,0.0,"[7, 1, 1, 1]"
deletion,0.05,0.7,0.0,42,28,False,0.2522147779132457,0.3190724897130247,0.0,0.6616541353383458,0.35,False,True,7,0,1.0,27,13,0.675,0.5135135135135135,393,0.0,0.065,0.026000000000000002,-0.039,0.0,"[7, 1, 1, 1]"
deletion,0.05,0.7,0.0,42,29,False,0.2573654485142994,0.2948599228403241,0.0,0.656934306569343,0.34946236559139787,False,True,7,0,1.0,33,10,0.7674418604651163,0.5116279069767442,426,0.0,0.065,0.026000000000000002,-0.039,0.0,"[7, 1, 1, 1]"
deletion,0.05,0.7,0.0,42,30,False,0.2656701902818284,0.2800444048694655,0.0,0.6571428571428571,0.3492063492063492,False,True,7,0,1.0,32,14,0.6956521739130435,0.4716981132075472,458,0.0,0.065,0.026000000000000002,-0.039,0.0,"[7, 1, 1, 1]"
deletion,0.05,0.7,0.0,42,31,False,0.265919309378038,0.28503330365209917,0.0,0.6462585034013606,0.358974358974359,True,True,8,0,1.0,36,9,0.8,0.5238095238095238,476,0.0,0.065,0.021,-0.044,0.0,"[8, 1, 0, 1]"
deletion,0.05,0.7,0.0,42,32,False,0.2807420030419318,0.3012749777390744,0.0,0.6490066225165563,0.35678391959798994,False,True,8,0,1.0,32,16,0.6666666666666666,0.391304347826087,508,0.0,0.065,0.021,-0.044,0.0,"[8, 1, 0, 1]"
deletion,0.05,0.7,0.0,42,33,False,0.26976702859723833,0.2884562333043058,0.0,0.6474358974358975,0.35609756097560974,False,True,8,0,1.0,27,16,0.627906976744186,0.4791666666666667,535,0.0,0.065,0.021,-0.044,0.0,"[8, 1, 0, 1]"
deletion,0.05,0.7,0.0,42,34,False,0.27821812859078593,0.2975921749782294,0.0,0.6477987421383647,0.35406698564593303,True,True,9,0,1.0,31,13,0.7045454545454546,0.5,554,0.0,0.065,0.021,-0.044,0.0,"[8, 1, 0, 1]"
deletion,0.05,0.7,0.0,42,35,False,0.28455645358594656,0.30444413123367203,0.0,0.6524390243902439,0.3488372093023256,False,True,9,0,1.0,29,13,0.6904761904761905,0.425,583,0.0,0.065,0.021,-0.044,0.0,"[8, 1, 0, 1]"
deletion,0.05,0.7,0.0,42,36,False,0.27770305447517424,0.29708309842525404,0.0,0.6470588235294118,0.35135135135135137,True,True,10,0,1.0,30,8,0.7894736842105263,0.45,610,0.0,0.065,0.002,-0.063,0.0,"[8, 2, 0, 0]"
deletion,0.05,0.7,0.0,42,37,False,0.2779201479992378,0.2978123238189405,0.0,0.6460674157303371,0.3568281938325991,False,True,10,0,1.0,25,11,0.6944444444444444,0.55,635,0.0,0.065,0.002,-0.063,0.0,"[8, 2, 0, 0]"
deletion,0.05,0.7,0.0,42,38,False,0.2995115395708569,0.32335924286420537,0.0,0.6358695652173914,0.3648068669527897,False,True,10,0,1.0,22,11,0.6666666666666666,0.5,657,0.0,0.065,0.002,-0.063,0.0,"[8, 2, 0, 0]"
deletion,0.05,0.7,0.0,42,39,False,0.3005265118209998,0.323769432148154,0.0,0.6368421052631579,0.36401673640167365,False,True,10,0,1.0,23,16,0.5897435897435898,0.525,680,0.0,0.065,0.002,-0.063,0.0,"[8, 2, 0, 0]"
deletion,0.05,0.7,0.0,43,0,False,0.0,0.0,0.0,0.0,1.0,False,True,0,0,0.1,0,0,0.0,0.0,0,0.0,0.065,0.2,0.135,0.0,"[0, 0, 0, 1]"
deletion,0.05,0.7,0.0,43,1,False,0.0,0.0,0.09090909090909091,0.09090909090909091,0.8518518518518519,False,True,0,0,0.1,0,50,0.0,0.0,0,0.0,0.065,0.2,0.135,0.0,"[0, 0, 0, 1]"
deletion,0.05,0.7,0.0,43,2,False,0.022727272727272728,0.022727272727272728,0.29411764705882354,0.29411764705882354,0.7575757575757576,False,True,0,0,0.2,0,36,0.0,0.0,0,0.0,0.065,0.10500000000000001,0.04000000000000001,0.0,"[0, 1, 0, 1]"
deletion,0.05,0.7,0.0,43,3,False,0.09057486631016043,0.09057486631016043,0.4,0.42857142857142855,0.6341463414634146,False,True,0,0,0.3,2,37,0.05128205128205128,0.0,2,0.0,0.065,0.07333333333333333,0.008333333333333331,0.0,"[0, 2, 0, 1]"
deletion,0.05,0.7,0.0,43,4,False,0.15364543544690606,0.16793114973262033,0.35,0.4583333333333333,0.5869565217391305,False,True,0,0,0.5,9,33,0.21428571428571427,0.18181818181818182,11,0.0,0.065,0.124,0.059,0.0,"[0, 2, 0, 3]"
deletion,0.05,0.7,0.0,43,5,False,0.196727583078686,0.21344836229946523,0.25,0.5,0.5272727272727272,True,True,1,0,0.6,11,26,0.2972972972972973,0.15,20,0.0,0.065,0.05333333333333334,-0.011666666666666665,0.0,"[1, 2, 2, 1]"
deletion,0.05,0.7,0.0,43,6,False,0.20647425873758593,0.22258627172459894,0.25,0.53125,0.5166666666666667,False,True,1,0,0.8,23,27,0.46,0.4117647058823529,43,0.0,0.065,0.0475,-0.0175,0.0,"[1, 3, 3, 1]"
deletion,0.05,0.7,0.0,43,7,False,0.22062950357699898,0.3023563704601159,0.2,0.5263157894736842,0.5074626865671642,False,True,1,0,0.8,23,23,0.5,0.35714285714285715,66,0.0,0.065,0.0475,-0.0175,0.0,"[1, 3, 3, 1]"
deletion,0.05,0.7,0.0,43,8,False,0.2178530800637016,0.3434339445117536,0.15,0.5365853658536586,0.4861111111111111,False,True,1,0,0.8,25,21,0.5434782608695652,0.4117647058823529,91,0.0,0.065,0.0475,-0.0175,0.0,"[1, 3, 3, 1]"
deletion,0.05,0.7,0.0,43,9,False,0.21428266719063332,0.37007545838381517,0.1,0.5116279069767442,0.4805194805194805,False,True,1,0,0.8,24,22,0.5217391304347826,0.35185185185185186,115,0.0,0.065,0.0475,-0.0175,0.0,"[1, 3, 3, 1]"
deletion,0.05,0.7,0.0,43,10,False,0.19804966273063734,0.38380659378786136,0.1,0.5333333333333333,0.44047619047619047,False,True,1,0,0.8,24,21,0.5333333333333333,0.3508771929824561,139,0.0,0.065,0.0475,-0.0175,0.0,"[1, 3, 3, 1]"
deletion,0.05,0.7,0.0,43,11,False,0.18641990010920248,0.400354945340896,0.1,0.5531914893617021,0.4175824175824176,True,True,3,0,0.8,25,17,0.5952380952380952,0.4594594594594595,68,0.0,0.065,0.05,-0.015,0.0,"[3, 0, 4, 1]"
deletion,0.05,0.7,0.0,43,12,False,0.1876090427289607,0.412766209005672,0.05,0.5576923076923077,0.4166666666666667,True,True,4,0,0.8,21,21,0.5,0.1,29,0.0,0.065,0.03375,-0.03125,0.0,"[4, 2, 1, 1]"
deletion,0.05,0.7,0.0,43,13,False,0.15677821061814906,0.322074656754254,0.05,0.5818181818181818,0.4019607843137255,False,True,4,0,0.8,16,24,0.4,0.15384615384615385,45,0.0,0.065,0.03375,-0.03125,0.0,"[4, 2, 1, 1]"
deletion,0.05,0.7,0.0,43,14,False,0.13901222939218325,0.2478059925656905,0.05,0.603448275862069,0.37962962962962965,False,True,4,0,0.9,18,20,0.47368421052631576,0.18181818181818182,63,0.0,0.065,0.035555555555555556,-0.029444444444444447,0.0,"[4, 2, 2, 1]"
deletion,0.05,0.7,0.0,43,15,False,0.12109590673801497,0.20996163728141073,0.05,0.6290322580645161,0.36283185840707965,True,True,5,0,1.0,28,17,0.6222222222222222,0.3488372093023256,86,0.0,0.065,0.032,-0.033,0.0,"[5, 2, 2, 1]"
deletion,0.05,0.7,0.0,43,16,False,0.10567582615740734,0.1864485006883308,0.0,0.5942028985507246,0.38333333333333336,True,True,6,0,1.0,27,12,0.6923076923076923,0.24242424242424243,91,0.0,0.065,0.062,-0.0030000000000000027,0.0,"[5, 2, 0, 3]"
deletion,0.05,0.7,0.0,43,17,False,0.10260851796970386,0.17829791397778658,0.0,0.589041095890411,0.3902439024390244,True,True,7,0,1.0,36,12,0.75,0.23076923076923078,113,0.0,0.065,0.032,-0.033,0.0,"[5, 2, 2, 1]"
deletion,0.05,0.7,0.0,43,18,False,0.09598834336449594,0.17319711969386625,0.0,0.5921052631578947,0.3798449612403101,False,True,7,0,1.0,24,21,0.5333333333333333,0.28888888888888886,137,0.0,0.065,0.032,-0.033,0.0,"[5, 2, 2, 1]"
deletion,0.05,0.7,0.0,43,19,False,0.09788411466622911,0.1798978397703997,0.0,0.6,0.38405797101449274,True,True,9,0,1.0,25,12,0.6756756756756757,0.225,147,0.0,0.065,0.027000000000000003,-0.038,0.0,"[6, 2, 1, 1]"
deletion,0.05,0.7,0.0,43,20,False,0.08591308599967183,0.18492337982779977,0.0,0.5862068965517241,0.3819444444444444,False,True,9,0,1.0,12,25,0.32432432432432434,0.25,159,0.0,0.065,0.027000000000000003,-0.038,0.0,"[6, 2, 1, 1]"
deletion,0.05,0.7,0.0,43,21,False,0.08229195735689673,0.1886925348708498,0.0,0.5978260869565217,0.375,True,True,10,0,1.0,28,12,0.7,0.36363636363636365,180,0.0,0.065,0.027000000000000003,-0.038,0.0,"[6, 2, 1, 1]"
deletion,0.05,0.7,0.0,43,22,False,0.0858261108748154,0.19776940115313735,0.0,0.5773195876288659,0.3836477987421384,False,True,10,0,1.0,24,20,0.5454545454545454,0.4716981132075472,204,0.0,0.065,0.027000000000000003,-0.038,0.0,"[6, 2, 1, 1]"
deletion,0.05,0.7,0.0,43,23,False,0.0884767260132544,0.204577050864853,0.0,0.5858585858585859,0.37888198757763975,True,True,12,0,1.0,36,15,0.7058823529411765,0.225,215,0.0,0.065,0.023,-0.042,0.0,"[6, 3, 0, 1]"
deletion,0.05,0.7,0.0,43,24,False,0.07439325879565509,0.20968278814863975,0.0,0.5784313725490197,0.3795180722891566,False,True,12,0,1.0,26,21,0.5531914893617021,0.375,241,0.0,0.065,0.023,-0.042,0.0,"[6, 3, 0, 1]"
deletion,0.05,0.7,0.0,43,25,False,0.07811637266816988,0.2385120911114798,0.0,0.5794392523364486,0.3793103448275862,False,True,12,0,1.0,26,15,0.6341463414634146,0.4888888888888889,267,0.0,0.065,0.023,-0.042,0.0,"[6, 3, 0, 1]"
deletion,0.05,0.7,0.0,43,26,False,0.07823013664398457,0.2788840683336099,0.0,0.5892857142857143,0.3743016759776536,True,True,13,0,1.0,25,11,0.6944444444444444,0.43333333333333335,237,0.0,0.065,0.046,-0.019000000000000003,0.0,"[6, 1, 1, 2]"
deletion,0.05,0.7,0.0,43,27,False,0.07474403105441699,0.20916305125020743,0.0,0.5775862068965517,0.3825136612021858,True,True,14,0,1.0,29,14,0.6744186046511628,0.20833333333333334,246,0.0,0.065,0.012,-0.053000000000000005,0.0,"[6, 2, 2, 0]"
deletion,0.05,0.7,0.0,43,28,False,0.061415166147955606,0.15687228843765558,0.0,0.5819672131147541,0.3829787234042553,False,True,14,0,1.0,36,10,0.782608695652174,0.4864864864864865,282,0.0,0.065,0.012,-0.053000000000000005,0.0,"[6, 2, 2, 0]"
deletion,0.05,0.7,0.0,43,29,False,0.07939470794430004,0.200987549661575,0.0,0.5748031496062992,0.38461538461538464,False,True,14,0,1.0,34,10,0.7727272727272727,0.6037735849056604,316,0.0,0.065,0.012,-0.053000000000000005,0.0,"[6, 2, 2, 0]"
deletion,0.05,0.7,0.0,43,30,False,0.09372970442761279,0.24002637653189557,0.0,0.5909090909090909,0.3768844221105528,False,True,14,0,1.0,36,12,0.75,0.6166666666666667,352,0.0,0.065,0.012,-0.053000000000000005,0.0,"[6, 2, 2, 0]"
deletion,0.05,0.7,0.0,43,31,False,0.10422584974928102,0.2675197823989217,0.0,0.5928571428571429,0.37681159420289856,False,True,14,0,1.0,30,12,0.7142857142857143,0.5833333333333334,382,0.0,0.065,0.012,-0.053000000000000005,0.0,"[6, 2, 2, 0]"
deletion,0.05,0.7,0.0,43,32,False,0.1058479587405322,0.2818898367991913,0.0,0.5862068965517241,0.38207547169811323,True,True,15,0,1.0,27,14,0.6585365853658537,0.375,374,0.0,0.065,0.022,-0.043000000000000003,0.0,"[7, 2, 0, 1]"
deletion,0.05,0.7,0.0,43,33,False,0.10617168334111342,0.28641737759939345,0.0,0.5733333333333334,0.38990825688073394,True,True,16,0,1.0,32,11,0.7441860465116279,0.55,404,0.0,0.065,0.002,-0.063,0.0,"[8, 2, 0, 0]"
deletion,0.05,0.7,0.0,43,34,False,0.1260573339344065,0.3148130331995451,0.0,0.5786163522012578,0.3893805309734513,False,True,16,0,1.0,29,14,0.6744186046511628,0.55,433,0.0,0.065,0.002,-0.063,0.0,"[8, 2, 0, 0]"
deletion,0.05,0.7,0.0,43,35,False,0.14543585759366204,0.32985977489965884,0.0,0.572289156626506,0.39316239316239315,False,True,16,0,1.0,34,9,0.7906976744186046,0.525,467,0.0,0.065,0.002,-0.063,0.0,"[8, 2, 0, 0]"
deletion,0.05,0.7,0.0,43,36,False,0.1546126074809608,0.34114483117474415,0.0,0.5798816568047337,0.3865546218487395,False,True,16,0,1.0,27,14,0.6585365853658537,0.55,494,0.0,0.065,0.002,-0.063,0.0,"[8, 2, 0, 0]"
deletion,0.05,0.7,0.0,43,37,False,0.17131659846786348,0.34335862338105816,0.0,0.5681818181818182,0.39591836734693875,False,True,16,0,1.0,27,10,0.7297297297297297,0.675,521,0.0,0.065,0.002,-0.063,0.0,"[8, 2, 0, 0]"
deletion,0.05,0.7,0.0,43,38,False,0.2017017345651833,0.3575189675357936,0.0,0.5573770491803278,0.4063745019920319,False,True,16,0,1.0,24,13,0.6486486486486487,0.575,545,0.0,0.065,0.002,-0.063,0.0,"[8, 2, 0, 0]"
deletion,0.05,0.7,0.0,43,39,False,0.19859772949531607,0.37438922565184524,0.0,0.5614973262032086,0.4046692607003891,False,True,16,0,1.0,30,13,0.6976744186046512,0.6,575,0.0,0.065,0.002,-0.063,0.0,"[8, 2, 0, 0]"
deletion,0.05,0.7,0.0,44,0,False,0.0,0.0,0.0,0.0,1.0,False,True,0,0,0.1,0,0,0.0,0.0,0,0.0,0.065,0.01,-0.055,0.0,"[0, 1, 0, 0]"
deletion,0.05,0.7,0.0,44,1,False,0.0,0.0,0.3,0.3,0.7307692307692307,False,True,0,0,0.2,7,35,0.16666666666666666,0.14285714285714285,7,0.0,0.065,0.01,-0.055,0.0,"[0, 2, 0, 0]"
deletion,0.05,0.7,0.0,44,2,False,0.06938775510204082,0.075,0.35714285714285715,0.35714285714285715,0.7096774193548387,False,True,0,0,0.4,7,32,0.1794871794871795,0.2857142857142857,14,0.0,0.065,0.0075,-0.0575,0.0,"[1, 3, 0, 0]"
deletion,0.05,0.7,0.0,44,3,False,0.13749999999999998,0.14553571428571427,0.45,0.47619047619047616,0.5952380952380952,False,True,0,0,0.7,9,25,0.2647058823529412,0.25,23,0.0,0.065,0.03428571428571429,-0.030714285714285715,0.0,"[2, 4, 0, 1]"
deletion,0.05,0.7,0.0,44,4,False,0.20491071428571428,0.2216517857142857,0.4,0.5,0.5652173913043478,True,True,1,0,0.8,23,18,0.5609756097560976,0.0,3,0.0,0.065,0.03125,-0.03375,0.0,"[2, 5, 0, 1]"
deletion,0.05,0.7,0.0,44,5,False,0.24654017857142857,0.2662388392857143,0.3,0.5172413793103449,0.5576923076923077,False,True,1,0,0.9,2,41,0.046511627906976744,0.0,5,0.0,0.065,0.05,-0.015,0.0,"[2, 5, 0, 2]"
deletion,0.05,0.7,0.0,44,6,False,0.2545479910714286,0.27467912946428574,0.15,0.5135135135135135,0.5409836065573771,True,True,2,0,0.9,25,10,0.7142857142857143,0.34615384615384615,26,0.0,0.065,0.012222222222222223,-0.05277777777777778,0.0,"[2, 6, 1, 0]"
