ranking,detection,reset_cadence,seed,epoch,reset,mean_infection,max_infection,cache_corruption,tier3_poisoning,promotion_accuracy
quality,off,0,42,0,False,0.0,0.0,0.0,0.0,1.0
quality,off,0,42,1,False,0.0,0.0,0.3333333333333333,0.3333333333333333,0.8260869565217391
quality,off,0,42,2,False,0.08333333333333333,0.08333333333333333,0.5,0.5,0.7307692307692307
quality,off,0,42,3,False,0.1875,0.1875,0.6923076923076923,0.6923076923076923,0.5882352941176471
quality,off,0,42,4,False,0.3137019230769231,0.3137019230769231,0.6666666666666666,0.6666666666666666,0.5833333333333334
quality,off,0,42,5,False,0.4019431089743589,0.4019431089743589,0.6842105263157895,0.6842105263157895,0.5227272727272727
quality,off,0,42,6,False,0.4725099633097165,0.4725099633097165,0.65,0.6818181818181818,0.5208333333333334
quality,off,0,42,7,False,0.5168824724822874,0.5168824724822874,0.55,0.6896551724137931,0.49122807017543857
quality,off,0,42,8,False,0.5251618543617156,0.5251618543617156,0.5,0.6875,0.46153846153846156
quality,off,0,42,9,False,0.5188713907712867,0.5188713907712867,0.5,0.7058823529411765,0.4411764705882353
quality,off,0,42,10,False,0.5141535430784651,0.5141535430784651,0.5,0.7222222222222222,0.4305555555555556
quality,off,0,42,11,False,0.5106151573088488,0.5106151573088488,0.5,0.7435897435897436,0.40789473684210525
quality,off,0,42,12,False,0.5079613679816366,0.5079613679816366,0.45,0.7380952380952381,0.3950617283950617
quality,off,0,42,13,False,0.49347102598622744,0.49347102598622744,0.45,0.7555555555555555,0.3793103448275862
quality,off,0,42,14,False,0.4826032694896706,0.4826032694896706,0.35,0.7346938775510204,0.3804347826086957
quality,off,0,42,15,False,0.44945245211725293,0.44945245211725293,0.35,0.7450980392156863,0.375
quality,off,0,42,16,False,0.4245893390879397,0.4245893390879397,0.3,0.7543859649122807,0.3619047619047619
quality,off,0,42,17,False,0.39344200431595483,0.39344200431595483,0.3,0.7627118644067796,0.36036036036036034
quality,off,0,42,18,False,0.37008150323696615,0.37008150323696615,0.25,0.7540983606557377,0.36283185840707965
quality,off,0,42,19,False,0.3400611274277246,0.3400611274277246,0.2,0.7538461538461538,0.3559322033898305
quality,off,0,42,20,False,0.30504584557079345,0.30504584557079345,0.2,0.75,0.3524590163934426
quality,off,0,42,21,False,0.2787843841780951,0.2787843841780951,0.15,0.7464788732394366,0.34375
quality,off,0,42,22,False,0.24658828813357134,0.24658828813357134,0.15,0.7631578947368421,0.3308270676691729
quality,off,0,42,23,False,0.2224412161001785,0.2224412161001785,0.05,0.75,0.3357142857142857
quality,off,0,42,24,False,0.17933091207513388,0.17933091207513388,0.05,0.7469879518072289,0.3287671232876712
quality,off,0,42,25,False,0.14699818405635043,0.14699818405635043,0.05,0.7380952380952381,0.3288590604026846
quality,off,0,42,26,False,0.12274863804226281,0.12274863804226281,0.05,0.7411764705882353,0.3246753246753247
quality,off,0,42,27,False,0.1045614785316971,0.1045614785316971,0.05,0.7528089887640449,0.31645569620253167
quality,off,0,42,28,False,0.09092110889877282,0.09092110889877282,0.0,0.7340425531914894,0.32727272727272727
quality,off,0,42,29,False,0.06819083167407962,0.06819083167407962,0.0,0.7395833333333334,0.3254437869822485
quality,off,0,42,30,False,0.051143123755559704,0.05114312375555971,0.0,0.7373737373737373,0.32954545454545453
quality,off,0,42,31,False,0.03835734281666978,0.03835734281666978,0.0,0.7378640776699029,0.3259668508287293
quality,off,0,42,32,False,0.028768007112502342,0.02876800711250234,0.0,0.7378640776699029,0.32608695652173914
quality,off,0,42,33,False,0.021576005334376754,0.021576005334376754,0.0,0.7428571428571429,0.324468085106383
quality,off,0,42,34,False,0.016182004000782565,0.016182004000782565,0.0,0.7363636363636363,0.3248730964467005
quality,off,0,42,35,False,0.012136503000586923,0.012136503000586923,0.0,0.7368421052631579,0.32019704433497537
quality,off,0,42,36,False,0.009102377250440191,0.009102377250440191,0.0,0.725,0.3238095238095238
quality,off,0,42,37,False,0.006826782937830143,0.006826782937830143,0.0,0.728,0.3242009132420091
quality,off,0,42,38,False,0.0051200872033726075,0.0051200872033726075,0.0,0.7364341085271318,0.31555555555555553
quality,off,0,42,39,False,0.0038400654025294557,0.0038400654025294557,0.0,0.732824427480916,0.3173913043478261
quality,off,0,43,0,False,0.0,0.0,0.0,0.0,1.0
quality,off,0,43,1,False,0.0,0.0,0.09090909090909091,0.09090909090909091,0.8518518518518519
quality,off,0,43,2,False,0.022727272727272728,0.022727272727272728,0.26666666666666666,0.26666666666666666,0.7272727272727273
quality,off,0,43,3,False,0.08371212121212121,0.08371212121212121,0.42105263157894735,0.42105263157894735,0.625
quality,off,0,43,4,False,0.16804724880382774,0.16804724880382774,0.4,0.42857142857142855,0.5869565217391305
quality,off,0,43,5,False,0.22603543660287082,0.22603543660287082,0.4,0.5,0.5185185185185185
quality,off,0,43,6,False,0.26952657745215314,0.26952657745215314,0.35,0.48148148148148145,0.5172413793103449
quality,off,0,43,7,False,0.2896449330891149,0.2896449330891149,0.25,0.5,0.5076923076923077
