ranking,detection,reset_cadence,run_index,seed,total_interactions,accepted_interactions,avg_toxicity,avg_quality_gap,total_welfare,welfare_per_epoch,n_agents,n_frozen,avg_reputation,avg_payoff,min_payoff,max_payoff,honest_avg_payoff,opportunistic_avg_payoff,deceptive_avg_payoff,adversarial_avg_payoff,separation_quality,infiltration_rate,welfare_delta,attack_displacement,pool_avg_quality_truthful,pool_avg_quality_fair,pool_avg_quality_default,pool_welfare_truthful,pool_welfare_fair,pool_welfare_default,peak_infection,mean_infection,final_infection,late_infection,mean_tier3_poisoning,final_tier3_poisoning,mean_cache_corruption,contagion_writes
quality,on,2,2,44,2986,2986,0.28673720043089485,0.0,2666.380990171666,66.65952475429165,10,0,23.332676181519446,172.34138622474038,33.09781473217184,292.82066979836213,169.53728081133497,292.19642803785644,33.09781473217184,190.44796730468292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02784384469317223,0.004772911968490641,0.00117598856827292,0.005912068485481877,0.00486111111111111,0.0,0.00486111111111111,4
quality,on,2,3,45,2988,2988,0.28717091931655875,0.0,2715.8167933144746,67.89541983286186,10,0,28.329023332778558,176.52179157267506,37.51071404298884,305.57712381649276,170.4501052115987,281.37710211540747,37.51071404298884,211.81473414938108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05715738932291666,0.012325624180458088,0.018991677593892177,0.005589990115588797,0.013750000000000002,0.0,0.013750000000000002,13
quality,on,2,4,46,3010,3010,0.2872258687195066,0.0,2739.827783412466,68.49569458531165,10,0,28.962875982719492,180.59167800771664,45.800502425634825,322.6853354361128,175.39434969730215,286.572572419834,45.800502425634825,210.58880352394235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024878299597537876,0.004353564339178953,3.3283558422037506e-05,0.0001673270320311106,0.004356060606060606,0.0,0.004356060606060606,3
quality,on,2,5,47,3007,3007,0.28567363301865795,0.0,2705.943371714044,67.6485842928511,10,0,24.825687403354106,175.22060892331368,31.98628627401088,296.88923896455356,172.70680095523926,291.01931033427127,31.98628627401088,196.47984344670954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777773,0.0027777281156288313,6.621619859514401e-07,3.3288988643630075e-06,0.0027777777777777775,0.0,0.0027777777777777775,1
quality,on,2,6,48,3025,3025,0.28573522838423265,0.0,2742.948441768502,68.57371104421256,10,0,27.126424757897002,181.33342828070414,36.6980697922228,306.6608978463917,178.26052701044742,306.6608978463917,36.6980697922228,200.20607655287122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.0011393229166666667,0.007031250000000001,0.004557291666666667,0.0016666666666666666,0.0,0.0016666666666666666,2
quality,on,2,7,49,3007,3007,0.28623894345830386,0.0,2735.4210968738835,68.38552742184709,10,0,28.132973437467058,178.95991177275872,47.17419179001138,305.6090370503955,175.63141927676074,289.04586636486175,47.17419179001138,199.79527195607486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02627985260703347,0.004624736186092378,0.001973214488465271,0.009919976696273808,0.006856060606060606,0.08333333333333333,0.006856060606060606,1
quality,on,2,8,50,3022,3022,0.2867396223726206,0.0,2717.6152358988315,67.94038089747079,10,0,25.490448114671384,178.04283092703128,30.020302194951768,304.6094298387878,173.5861384295848,292.0014546431902,30.020302194951768,208.44486092733095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04571012769426618,0.010232927772300641,6.889954392796e-05,0.00034637991670173477,0.010238095238095237,0.0,0.010238095238095237,7
quality,on,2,9,51,3004,3004,0.28590829920938615,0.0,2708.949635205954,67.72374088014885,10,0,25.545577506057338,175.77928139581104,35.5705262480024,305.8157767574957,172.57436515364392,295.93515756576903,35.5705262480024,195.4204696112377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777773,0.004458921609006615,0.010918082250282169,0.00870211438741535,0.005277777777777778,0.0,0.005277777777777778,5
recency,off,0,0,42,2980,2980,0.298614192656,0.0,2937.2054525819804,73.43013631454951,10,0,60.09427801711695,208.3304780636422,147.2790157008474,388.1102755616381,164.473903763392,298.3906362144351,212.0017835882467,293.034469126694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8464560826020527,0.6829199058491515,0.8365739948858059,0.838054186035496,0.7242350290512727,0.8064516129032258,0.766912955465587,560
recency,off,0,1,43,2958,2958,0.29716298126687846,0.0,2928.6400893095497,73.21600223273875,10,0,60.03647321498663,206.351465540159,147.7063670005183,390.23755647491754,163.76777607824206,288.65973453654163,214.4740186733788,288.8871228611087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.944572543312856,0.6544585041675195,0.933429407484642,0.9085258918866803,0.6048579074841542,0.7674418604651163,0.7457157097288676,548
