benchmark,task_type,gov_config,seed,adversarial_fraction,screening_strength,p,completion_rate,efficiency,fidelity,capability_ratio,safety_score,gov_audit_rate,gov_circuit_breaker_enabled,gov_circuit_breaker_sensitivity,gov_min_stake,gov_bandwidth_cap,gov_confirmation_gates,capability
pipeline_task_v1,long_horizon,light_uniform,32,0.2,0.0,1.0,1.0,1.0,1.0,1.0,0.2,0.15,False,,1.0,85,0,0.9999999999999999
pipeline_task_v1,long_horizon,tight_uniform,33,0.2,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.8,True,0.6,6.0,30,2,0.1
pipeline_task_v1,long_horizon,moderate_uniform,33,0.2,0.0,0.25,0.0,1.0,0.16666666666666666,0.16666666666666666,0.03333333333333333,0.5,True,0.4,4.0,50,1,0.15
pipeline_task_v1,long_horizon,light_uniform,33,0.2,0.0,1.0,1.0,1.0,1.0,1.0,0.2,0.15,False,,1.0,85,0,0.9999999999999999
pipeline_task_v1,long_horizon,tight_uniform,34,0.2,0.0,0.9,1.0,0.5,1.0,1.0,0.2,0.8,True,0.6,6.0,30,2,0.95
pipeline_task_v1,long_horizon,moderate_uniform,34,0.2,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.5,True,0.4,4.0,50,1,0.1
pipeline_task_v1,long_horizon,light_uniform,34,0.2,0.0,1.0,1.0,1.0,1.0,1.0,0.2,0.15,False,,1.0,85,0,0.9999999999999999
pipeline_task_v1,long_horizon,tight_uniform,35,0.2,0.0,0.9,1.0,0.5,1.0,1.0,0.2,0.8,True,0.6,6.0,30,2,0.95
pipeline_task_v1,long_horizon,moderate_uniform,35,0.2,0.0,0.9,1.0,0.5,1.0,1.0,0.2,0.5,True,0.4,4.0,50,1,0.95
pipeline_task_v1,long_horizon,light_uniform,35,0.2,0.0,1.0,1.0,1.0,1.0,1.0,0.2,0.15,False,,1.0,85,0,0.9999999999999999
pipeline_task_v1,long_horizon,tight_uniform,36,0.2,0.0,0.3111111111111111,0.0,0.5555555555555556,0.6666666666666666,0.6666666666666666,0.13333333333333333,0.8,True,0.6,6.0,30,2,0.25555555555555554
pipeline_task_v1,long_horizon,moderate_uniform,36,0.2,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.5,True,0.4,4.0,50,1,0.1
pipeline_task_v1,long_horizon,light_uniform,36,0.2,0.0,1.0,1.0,1.0,1.0,1.0,0.2,0.15,False,,1.0,85,0,0.9999999999999999
pipeline_task_v1,long_horizon,tight_uniform,37,0.2,0.0,0.9,1.0,0.5,1.0,1.0,0.2,0.8,True,0.6,6.0,30,2,0.95
pipeline_task_v1,long_horizon,moderate_uniform,37,0.2,0.0,0.9,1.0,0.5,1.0,1.0,0.2,0.5,True,0.4,4.0,50,1,0.95
pipeline_task_v1,long_horizon,light_uniform,37,0.2,0.0,1.0,1.0,1.0,1.0,1.0,0.2,0.15,False,,1.0,85,0,0.9999999999999999
pipeline_task_v1,long_horizon,tight_uniform,38,0.2,0.0,0.9,1.0,0.5,1.0,1.0,0.2,0.8,True,0.6,6.0,30,2,0.95
pipeline_task_v1,long_horizon,moderate_uniform,38,0.2,0.0,0.9,1.0,0.5,1.0,1.0,0.2,0.5,True,0.4,4.0,50,1,0.95
pipeline_task_v1,long_horizon,light_uniform,38,0.2,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.15,False,,1.0,85,0,0.1
pipeline_task_v1,long_horizon,tight_uniform,39,0.2,0.0,0.9,1.0,0.5,1.0,1.0,0.2,0.8,True,0.6,6.0,30,2,0.95
pipeline_task_v1,long_horizon,moderate_uniform,39,0.2,0.0,0.9,1.0,0.5,1.0,1.0,0.2,0.5,True,0.4,4.0,50,1,0.95
pipeline_task_v1,long_horizon,light_uniform,39,0.2,0.0,0.25,0.0,1.0,0.16666666666666666,0.16666666666666666,0.03333333333333333,0.15,False,,1.0,85,0,0.15
pipeline_task_v1,long_horizon,tight_uniform,40,0.2,0.0,0.9,1.0,0.5,1.0,1.0,0.2,0.8,True,0.6,6.0,30,2,0.95
pipeline_task_v1,long_horizon,moderate_uniform,40,0.2,0.0,0.9,1.0,0.5,1.0,1.0,0.2,0.5,True,0.4,4.0,50,1,0.95
pipeline_task_v1,long_horizon,light_uniform,40,0.2,0.0,1.0,1.0,1.0,1.0,1.0,0.2,0.15,False,,1.0,85,0,0.9999999999999999
pipeline_task_v1,long_horizon,tight_uniform,41,0.2,0.0,0.9,1.0,0.5,1.0,1.0,0.2,0.8,True,0.6,6.0,30,2,0.95
pipeline_task_v1,long_horizon,moderate_uniform,41,0.2,0.0,0.9,1.0,0.5,1.0,1.0,0.2,0.5,True,0.4,4.0,50,1,0.95
pipeline_task_v1,long_horizon,light_uniform,41,0.2,0.0,1.0,1.0,1.0,1.0,1.0,0.2,0.15,False,,1.0,85,0,0.9999999999999999
pipeline_task_v1,long_horizon,tight_uniform,42,0.2,0.0,0.9,1.0,0.5,1.0,1.0,0.2,0.8,True,0.6,6.0,30,2,0.95
pipeline_task_v1,long_horizon,moderate_uniform,42,0.2,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.5,True,0.4,4.0,50,1,0.1
pipeline_task_v1,long_horizon,light_uniform,42,0.2,0.0,1.0,1.0,1.0,1.0,1.0,0.2,0.15,False,,1.0,85,0,0.9999999999999999
pipeline_task_v1,long_horizon,tight_uniform,43,0.2,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.8,True,0.6,6.0,30,2,0.1
pipeline_task_v1,long_horizon,moderate_uniform,43,0.2,0.0,0.25,0.0,1.0,0.16666666666666666,0.16666666666666666,0.03333333333333333,0.5,True,0.4,4.0,50,1,0.15
pipeline_task_v1,long_horizon,light_uniform,43,0.2,0.0,1.0,1.0,1.0,1.0,1.0,0.2,0.15,False,,1.0,85,0,0.9999999999999999
pipeline_task_v1,long_horizon,tight_uniform,44,0.2,0.0,0.3,0.0,1.0,0.3333333333333333,0.3333333333333333,0.06666666666666667,0.8,True,0.6,6.0,30,2,0.2
pipeline_task_v1,long_horizon,moderate_uniform,44,0.2,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.5,True,0.4,4.0,50,1,0.1
pipeline_task_v1,long_horizon,light_uniform,44,0.2,0.0,1.0,1.0,1.0,1.0,1.0,0.2,0.15,False,,1.0,85,0,0.9999999999999999
pipeline_task_v1,long_horizon,tight_uniform,45,0.2,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.8,True,0.6,6.0,30,2,0.1
pipeline_task_v1,long_horizon,moderate_uniform,45,0.2,0.0,0.9,1.0,0.5,1.0,1.0,0.2,0.5,True,0.4,4.0,50,1,0.95
pipeline_task_v1,long_horizon,light_uniform,45,0.2,0.0,1.0,1.0,1.0,1.0,1.0,0.2,0.15,False,,1.0,85,0,0.9999999999999999
pipeline_task_v1,long_horizon,tight_uniform,46,0.2,0.0,0.25,0.0,1.0,0.16666666666666666,0.16666666666666666,0.03333333333333333,0.8,True,0.6,6.0,30,2,0.15
pipeline_task_v1,long_horizon,moderate_uniform,46,0.2,0.0,0.25,0.0,1.0,0.16666666666666666,0.16666666666666666,0.03333333333333333,0.5,True,0.4,4.0,50,1,0.15
pipeline_task_v1,long_horizon,light_uniform,46,0.2,0.0,1.0,1.0,1.0,1.0,1.0,0.2,0.15,False,,1.0,85,0,0.9999999999999999
pipeline_task_v1,long_horizon,tight_uniform,47,0.2,0.0,0.9,1.0,0.5,1.0,1.0,0.2,0.8,True,0.6,6.0,30,2,0.95
pipeline_task_v1,long_horizon,moderate_uniform,47,0.2,0.0,0.9,1.0,0.5,1.0,1.0,0.2,0.5,True,0.4,4.0,50,1,0.95
pipeline_task_v1,long_horizon,light_uniform,47,0.2,0.0,0.25,0.0,1.0,0.16666666666666666,0.16666666666666666,0.03333333333333333,0.15,False,,1.0,85,0,0.15
pipeline_task_v1,long_horizon,tight_uniform,48,0.2,0.0,0.9,1.0,0.5,1.0,1.0,0.2,0.8,True,0.6,6.0,30,2,0.95
pipeline_task_v1,long_horizon,moderate_uniform,48,0.2,0.0,0.9,1.0,0.5,1.0,1.0,0.2,0.5,True,0.4,4.0,50,1,0.95
pipeline_task_v1,long_horizon,light_uniform,48,0.2,0.0,1.0,1.0,1.0,1.0,1.0,0.2,0.15,False,,1.0,85,0,0.9999999999999999
pipeline_task_v1,long_horizon,tight_uniform,49,0.2,0.0,0.9,1.0,0.5,1.0,1.0,0.2,0.8,True,0.6,6.0,30,2,0.95
pipeline_task_v1,long_horizon,moderate_uniform,49,0.2,0.0,0.9,1.0,0.5,1.0,1.0,0.2,0.5,True,0.4,4.0,50,1,0.95
pipeline_task_v1,long_horizon,light_uniform,49,0.2,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.15,False,,1.0,85,0,0.1
pipeline_task_v1,long_horizon,tight_screen_0.3,0,0.2,0.3,0.9,1.0,0.5,1.0,1.0,0.2,0.8,True,0.6,6.0,30,2,0.95
pipeline_task_v1,long_horizon,moderate_screen_0.3,0,0.2,0.3,0.925,1.0,0.625,1.0,1.0,0.2,0.5,True,0.4,4.0,50,1,0.9624999999999999
pipeline_task_v1,long_horizon,light_screen_0.3,0,0.2,0.3,1.0,1.0,1.0,1.0,1.0,0.2,0.15,False,,1.0,85,0,0.9999999999999999
pipeline_task_v1,long_horizon,tight_screen_0.3,1,0.2,0.3,0.9,1.0,0.5,1.0,1.0,0.2,0.8,True,0.6,6.0,30,2,0.95
pipeline_task_v1,long_horizon,moderate_screen_0.3,1,0.2,0.3,0.25,0.0,1.0,0.16666666666666666,0.16666666666666666,0.03333333333333333,0.5,True,0.4,4.0,50,1,0.15
pipeline_task_v1,long_horizon,light_screen_0.3,1,0.2,0.3,1.0,1.0,1.0,1.0,1.0,0.2,0.15,False,,1.0,85,0,0.9999999999999999
pipeline_task_v1,long_horizon,tight_screen_0.3,2,0.2,0.3,0.9,1.0,0.5,1.0,1.0,0.2,0.8,True,0.6,6.0,30,2,0.95
pipeline_task_v1,long_horizon,moderate_screen_0.3,2,0.2,0.3,0.9111111111111112,1.0,0.5555555555555556,1.0,1.0,0.2,0.5,True,0.4,4.0,50,1,0.9555555555555555
pipeline_task_v1,long_horizon,light_screen_0.3,2,0.2,0.3,1.0,1.0,1.0,1.0,1.0,0.2,0.15,False,,1.0,85,0,0.9999999999999999
pipeline_task_v1,long_horizon,tight_screen_0.3,3,0.2,0.3,0.25,0.0,1.0,0.16666666666666666,0.16666666666666666,0.03333333333333333,0.8,True,0.6,6.0,30,2,0.15
pipeline_task_v1,long_horizon,moderate_screen_0.3,3,0.2,0.3,0.9111111111111112,1.0,0.5555555555555556,1.0,1.0,0.2,0.5,True,0.4,4.0,50,1,0.9555555555555555
