variant,n,median_ttd_mean,median_ttd_std,detection_rate_mean,detection_rate_std
binary,50,9.93,1.5588778014969615,0.8797142857142858,0.14246811315275473
soft,50,0.28,0.7493997598078077,1.0,0.0
