mode,detection,write_pref,side_host_attention,seed,epoch,reset,mean_infection,max_infection,cache_corruption,tier3_poisoning,promotion_accuracy,side_teardown,side_active,side_teardown_count,side_sweep_count,discovered_fraction,side_writes,sanctioned_writes,ungoverned_fraction,side_cache_corruption,side_entries,evader_fraction,population_attention,chosen_attention,substrate_gap,mean_side_value
deletion,0.065,0.7,,42,24,False,0.028369170897916966,0.028369170897916966,0.0,0.6534653465346535,0.36,False,True,11,0,1.0,0,45,0.0,0.0,0,0.0,0.065,0.065,0.0,0.0
deletion,0.065,0.7,,42,25,False,0.021276878173437725,0.021276878173437725,0.0,0.6509433962264151,0.36075949367088606,True,False,12,0,1.0,38,13,0.7450980392156863,0.0,0,0.0,0.065,0.065,0.0,0.0
deletion,0.065,0.7,,42,26,False,0.015957658630078295,0.015957658630078295,0.0,0.6542056074766355,0.3558282208588957,False,True,12,0,1.0,0,43,0.0,0.0,0,0.0,0.065,0.065,0.0,0.0
deletion,0.065,0.7,,42,27,False,0.011968243972558721,0.011968243972558721,0.0,0.6607142857142857,0.3567251461988304,False,True,12,0,1.0,26,12,0.6842105263157895,0.4,26,0.0,0.065,0.065,0.0,0.0
deletion,0.065,0.7,,42,28,False,0.05897618297941905,0.05897618297941905,0.0,0.65,0.3615819209039548,True,False,13,0,1.0,30,8,0.7894736842105263,0.0,0,0.0,0.065,0.065,0.0,0.0
deletion,0.065,0.7,,42,29,False,0.04423213723456428,0.04423213723456429,0.0,0.6557377049180327,0.35911602209944754,False,True,13,0,1.0,0,41,0.0,0.0,0,0.0,0.065,0.065,0.0,0.0
deletion,0.065,0.7,,42,30,False,0.03317410292592322,0.03317410292592322,0.0,0.6363636363636364,0.375,True,False,14,0,1.0,31,8,0.7948717948717948,0.0,0,0.0,0.065,0.065,0.0,0.0
deletion,0.065,0.7,,42,31,False,0.024880577194442415,0.024880577194442415,0.0,0.6296296296296297,0.37055837563451777,False,True,14,0,1.0,0,44,0.0,0.0,0,0.0,0.065,0.065,0.0,0.0
deletion,0.065,0.7,,42,32,False,0.01866043289583181,0.01866043289583181,0.0,0.6267605633802817,0.37681159420289856,False,True,14,0,1.0,26,11,0.7027027027027027,0.45,26,0.0,0.065,0.065,0.0,0.0
deletion,0.065,0.7,,42,33,False,0.07024532467187386,0.07024532467187386,0.0,0.6164383561643836,0.3767441860465116,True,False,15,0,1.0,30,12,0.7142857142857143,0.0,0,0.0,0.065,0.065,0.0,0.0
deletion,0.065,0.7,,42,34,False,0.052683993503905395,0.052683993503905395,0.0,0.6274509803921569,0.36771300448430494,False,True,15,0,1.0,0,42,0.0,0.0,0,0.0,0.065,0.065,0.0,0.0
deletion,0.065,0.7,,42,35,False,0.039512995127929045,0.039512995127929045,0.0,0.6282051282051282,0.3684210526315789,True,False,16,0,1.0,35,11,0.7608695652173914,0.0,0,0.0,0.065,0.065,0.0,0.0
deletion,0.065,0.7,,42,36,False,0.02963474634594678,0.02963474634594678,0.0,0.63125,0.3702127659574468,False,True,16,0,1.0,0,37,0.0,0.0,0,0.0,0.065,0.065,0.0,0.0
deletion,0.065,0.7,,42,37,False,0.022226059759460088,0.022226059759460084,0.0,0.6272189349112426,0.37142857142857144,True,False,17,0,1.0,22,12,0.6470588235294118,0.0,0,0.0,0.065,0.065,0.0,0.0
deletion,0.065,0.7,,42,38,False,0.016669544819595063,0.016669544819595063,0.0,0.6228571428571429,0.3715415019762846,False,True,17,0,1.0,0,31,0.0,0.0,0,0.0,0.065,0.065,0.0,0.0
deletion,0.065,0.7,,42,39,False,0.012502158614696297,0.012502158614696297,0.0,0.6235955056179775,0.3682170542635659,False,True,17,0,1.0,24,19,0.5581395348837209,0.4,24,0.0,0.065,0.065,0.0,0.0
deletion,0.065,0.7,,43,0,False,0.0,0.0,0.0,0.0,1.0,False,True,0,0,0.0,0,0,0.0,0.0,0,0.0,0.065,0.065,0.0,0.0
deletion,0.065,0.7,,43,1,False,0.0,0.0,0.09090909090909091,0.09090909090909091,0.8518518518518519,False,True,0,0,0.0,0,50,0.0,0.0,0,0.0,0.065,0.065,0.0,0.0
