lo,hi,n,mean_confidence,accuracy,gap
0.0000,0.1000,32,0.083458,0.000000,0.083458
0.1000,0.2000,259,0.157280,0.000000,0.157280
0.2000,0.3000,345,0.248430,0.000000,0.248430
0.3000,0.4000,292,0.348958,0.000000,0.348958
0.4000,0.5000,223,0.446004,0.000000,0.446004
0.5000,0.6000,144,0.545269,0.000000,0.545269
0.6000,0.7000,83,0.641469,0.012048,0.629421
0.7000,0.8000,101,0.754241,0.297030,0.457211
0.8000,0.9000,228,0.858536,0.798246,0.060290
0.9000,1.0000,1293,0.963339,0.994586,0.031247
