lo,hi,n,mean_confidence,accuracy,gap
0.3000,0.4000,59,0.388385,0.000000,0.388385
0.4000,0.5000,1092,0.454597,0.000000,0.454597
0.5000,0.6000,497,0.547912,0.317907,0.230005
0.6000,0.7000,1259,0.658475,0.991263,0.332788
0.7000,0.8000,93,0.704537,1.000000,0.295463
