lo,hi,n,mean_confidence,accuracy,gap
0.2000,0.3000,43,0.281582,0.000000,0.281582
0.3000,0.4000,484,0.360328,0.000000,0.360328
0.4000,0.5000,624,0.446923,0.000000,0.446923
0.5000,0.6000,255,0.539267,0.015686,0.523581
0.6000,0.7000,275,0.656581,0.672727,0.016147
0.7000,0.8000,697,0.762664,0.987088,0.224423
0.8000,0.9000,622,0.826850,1.000000,0.173150
