lo,hi,n,mean_confidence,accuracy,gap
0.0000,0.1000,1,0.087881,0.000000,0.087881
0.1000,0.2000,135,0.167155,0.000000,0.167155
0.2000,0.3000,358,0.252888,0.000000,0.252888
0.3000,0.4000,362,0.347364,0.000000,0.347364
0.4000,0.5000,295,0.445312,0.000000,0.445312
0.5000,0.6000,173,0.545208,0.000000,0.545208
0.6000,0.7000,88,0.648366,0.079545,0.568821
0.7000,0.8000,156,0.755736,0.551282,0.204454
0.8000,0.9000,329,0.857559,0.920973,0.063413
0.9000,1.0000,1103,0.943387,1.000000,0.056613
