lo,hi,n,mean_confidence,accuracy,gap
0.1000,0.2000,19,0.181284,0.000000,0.181284
0.2000,0.3000,259,0.261694,0.000000,0.261694
0.3000,0.4000,480,0.350653,0.000000,0.350653
0.4000,0.5000,393,0.447433,0.000000,0.447433
0.5000,0.6000,209,0.543470,0.004785,0.538686
0.6000,0.7000,125,0.657141,0.280000,0.377141
0.7000,0.8000,265,0.756759,0.818868,0.062109
0.8000,0.9000,758,0.863769,0.994723,0.130954
0.9000,1.0000,492,0.916902,1.000000,0.083098
