cell_id,family,n,overrides,coverage,completion_rate_mean,control_completion_rate_mean,task_success_rate_mean,control_task_success_rate_mean,shared_submission_rate_mean,control_shared_submission_rate_mean,total_writes_mean,control_total_writes_mean,post_intervention_writes_mean,control_post_intervention_writes_mean,displacements_mean,control_displacements_mean,removed_pages_mean,control_removed_pages_mean,useful_reads_mean,control_useful_reads_mean,screen_agreement_mean,control_screen_agreement_mean,screen_comparable_pairs_mean,control_screen_comparable_pairs_mean,alarm_runs,alarm_rate,alarm_wilson_low,alarm_wilson_high,control_alarm_runs,zero_write_control_runs,disrupted_works,relocated_works,displaced_works,evasion_learned,displaced_per_disrupted,displaced_per_relocated
detection-000,detection,200,"{""sharing_regime"": ""independent""}",0.25,0.7792447916666667,0.7792447916666667,0.7006510416666667,0.7006510416666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7935612689479234,0.7935612689479234,42.44,42.44,99,0.495,0.4264572195415849,0.5637312405175983,99,200,0,0,0,0,,
detection-001,detection,200,"{""sharing_regime"": ""independent""}",1.0,0.7792447916666667,0.7792447916666667,0.7006510416666667,0.7006510416666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8042214993554266,0.8042214993554266,663.85,663.85,109,0.545,0.4757848503696115,0.6125190090977398,109,200,0,0,0,0,,
detection-002,detection,200,"{""sharing_regime"": ""authorized""}",0.25,0.9137239583333333,0.9137239583333333,0.82078125,0.82078125,0.34838541666666667,0.34838541666666667,107.435,107.435,49.355,49.355,0.0,0.0,0.0,0.0,66.89,66.89,0.8448082368305944,0.8448082368305944,66.005,66.005,143,0.715,0.648845269187895,0.773050948267227,143,0,0,0,0,0,,
detection-003,detection,200,"{""sharing_regime"": ""authorized""}",1.0,0.9137239583333333,0.9137239583333333,0.82078125,0.82078125,0.34838541666666667,0.34838541666666667,107.435,107.435,49.355,49.355,0.0,0.0,0.0,0.0,66.89,66.89,0.837521870170048,0.837521870170048,1031.985,1031.985,145,0.725,0.6593153404748534,0.7822039568619022,145,0,0,0,0,0,,
detection-004,detection,200,"{""sharing_regime"": ""prohibited""}",0.25,0.9137239583333333,0.9137239583333333,0.82078125,0.82078125,0.34838541666666667,0.34838541666666667,107.435,107.435,49.355,49.355,0.0,0.0,0.0,0.0,66.89,66.89,0.8448082368305944,0.8448082368305944,66.005,66.005,143,0.715,0.648845269187895,0.773050948267227,143,0,0,0,0,0,,
detection-005,detection,200,"{""sharing_regime"": ""prohibited""}",1.0,0.9137239583333333,0.9137239583333333,0.82078125,0.82078125,0.34838541666666667,0.34838541666666667,107.435,107.435,49.355,49.355,0.0,0.0,0.0,0.0,66.89,66.89,0.837521870170048,0.837521870170048,1031.985,1031.985,145,0.725,0.6593153404748534,0.7822039568619022,145,0,0,0,0,0,,
