base_rate,seed,metric,variant,value
0.2,7,quality_gap,soft,-0.08871789041077094
0.2,7,quality_gap,binary,0.0004945443400793392
0.2,7,conditional_loss,soft,-0.015664252525651734
0.2,7,conditional_loss,binary,8.731798504524324e-05
0.2,8,quality_gap,soft,-0.0785083477531141
0.2,8,quality_gap,binary,0.0027711797307996555
0.2,8,conditional_loss,soft,-0.014474976616980384
0.2,8,conditional_loss,binary,0.0005109362628661351
0.2,9,quality_gap,soft,-0.08585461492104274
0.2,9,quality_gap,binary,0.0019210899741299858
0.2,9,conditional_loss,soft,-0.01495748369327532
0.2,9,conditional_loss,binary,0.0003346898939303733
0.35,0,quality_gap,soft,-0.0570636174853103
0.35,0,quality_gap,binary,0.001585023355355708
0.35,0,conditional_loss,soft,-0.009540323548325347
0.35,0,conditional_loss,binary,0.00026499609222352394
0.35,1,quality_gap,soft,-0.06857873322586305
0.35,1,quality_gap,binary,0.0035691226846285007
0.35,1,conditional_loss,soft,-0.011947701179193304
0.35,1,conditional_loss,binary,0.0006218080927126168
0.35,2,quality_gap,soft,-0.06636841881040201
0.35,2,quality_gap,binary,0.004982341368603205
0.35,2,conditional_loss,soft,-0.010629317075103506
0.35,2,conditional_loss,binary,0.0007979531098153414
0.35,3,quality_gap,soft,-0.06596458590514342
0.35,3,quality_gap,binary,0.007872658315136172
0.35,3,conditional_loss,soft,-0.011646872198876834
0.35,3,conditional_loss,binary,0.0013900162337662225
0.35,4,quality_gap,soft,-0.07029709010953933
0.35,4,quality_gap,binary,0.0018034044608279398
0.35,4,conditional_loss,soft,-0.010379804711486695
0.35,4,conditional_loss,binary,0.0002662839399191208
0.35,5,quality_gap,soft,-0.06335752964396346
0.35,5,quality_gap,binary,0.00671017030081178
0.35,5,conditional_loss,soft,-0.010064607573650464
0.35,5,conditional_loss,binary,0.0010659385113268582
0.35,6,quality_gap,soft,-0.06441806189541843
0.35,6,quality_gap,binary,0.005123165456056289
0.35,6,conditional_loss,soft,-0.010853772407899864
0.35,6,conditional_loss,binary,0.0008632000130386341
0.35,7,quality_gap,soft,-0.06988988183869038
0.35,7,quality_gap,binary,-0.003326192794547267
0.35,7,conditional_loss,soft,-0.011375306288849307
0.35,7,conditional_loss,binary,-0.0005413725251541823
0.35,8,quality_gap,soft,-0.06703847374657057
0.35,8,quality_gap,binary,0.007120339424968591
0.35,8,conditional_loss,soft,-0.01073663056097407
0.35,8,conditional_loss,binary,0.0011403668610301398
0.35,9,quality_gap,soft,-0.07019949269564729
0.35,9,quality_gap,binary,0.0029053068799433923
0.35,9,conditional_loss,soft,-0.011626790977716572
0.35,9,conditional_loss,binary,0.00048119145199065905
0.5,0,quality_gap,soft,-0.04477403444627048
0.5,0,quality_gap,binary,0.0024226818803625427
0.5,0,conditional_loss,soft,-0.006891003738996315
0.5,0,conditional_loss,binary,0.0003728658831495535
0.5,1,quality_gap,soft,-0.04881678338472362
0.5,1,quality_gap,binary,0.0006892407747772777
0.5,1,conditional_loss,soft,-0.007831025667966118
0.5,1,conditional_loss,binary,0.00011056570762058016
0.5,2,quality_gap,soft,-0.041413732029866424
0.5,2,quality_gap,binary,0.004541114173484573
0.5,2,conditional_loss,soft,-0.006125781196084423
0.5,2,conditional_loss,binary,0.0006717064714946153
0.5,3,quality_gap,soft,-0.050057890278092265
0.5,3,quality_gap,binary,0.00458831454545261
0.5,3,conditional_loss,soft,-0.007339216725668174
0.5,3,conditional_loss,binary,0.0006727138252837772
0.5,4,quality_gap,soft,-0.05163649419114669
0.5,4,quality_gap,binary,0.005640020708755689
0.5,4,conditional_loss,soft,-0.006911759899544068
0.5,4,conditional_loss,binary,0.0007549402719532194
0.5,5,quality_gap,soft,-0.053313112722915834
0.5,5,quality_gap,binary,0.0005584671502242289
0.5,5,conditional_loss,soft,-0.00798308328533237
0.5,5,conditional_loss,binary,8.362463837996437e-05
0.5,6,quality_gap,soft,-0.043584702317256974
0.5,6,quality_gap,binary,0.006104857519521278
0.5,6,conditional_loss,soft,-0.006469604250217809
0.5,6,conditional_loss,binary,0.0009061897880540126
0.5,7,quality_gap,soft,-0.05025107322022393
0.5,7,quality_gap,binary,0.003966086407130809
0.5,7,conditional_loss,soft,-0.007289022860329397
0.5,7,conditional_loss,binary,0.000575289096034326
0.5,8,quality_gap,soft,-0.05238715261174376
0.5,8,quality_gap,binary,0.004961270334386425
0.5,8,conditional_loss,soft,-0.007762575478146405
0.5,8,conditional_loss,binary,0.0007351465677776226
0.5,9,quality_gap,soft,-0.04779639472343011
0.5,9,quality_gap,binary,0.00035510307729791357
0.5,9,conditional_loss,soft,-0.00700764849721125
0.5,9,conditional_loss,binary,5.206328971840701e-05
