base_rate,seed,soft_brier,binary_brier,soft_ece,binary_ece
0.05,0,0.14469273271396701,0.16701388888888888,0.05886890964699337,0.1670138888888889
0.05,1,0.1383172783567696,0.15572916666666667,0.06407306029382961,0.1557291666666667
0.05,2,0.13592867894594396,0.15555555555555556,0.05655795728903652,0.15555555555555559
0.05,3,0.14186499005887368,0.16024305555555557,0.06432715447786119,0.16024305555555554
0.05,4,0.13923348827481707,0.1597222222222222,0.056638872827253585,0.15972222222222218
0.05,5,0.13910569930162509,0.15815972222222222,0.059325878198242386,0.15815972222222216
0.05,6,0.1386020783626518,0.15677083333333333,0.05950035008749795,0.15677083333333336
0.05,7,0.12832883525105,0.1449652777777778,0.05378570623666396,0.1449652777777778
0.05,8,0.1373188343755572,0.15694444444444444,0.055258041818329766,0.15694444444444444
0.05,9,0.13814013526302904,0.15729166666666666,0.05797237286826178,0.1572916666666667
0.1,0,0.14621823932243838,0.16961805555555556,0.061845243450617746,0.1696180555555556
0.1,1,0.1432819235864539,0.1623263888888889,0.06686403072297807,0.16232638888888887
0.1,2,0.13690298983887916,0.15677083333333333,0.05491141972021049,0.15677083333333336
0.1,3,0.1465983803403074,0.17118055555555556,0.05931063526106767,0.17118055555555553
0.1,4,0.14335309946685773,0.16684027777777777,0.05836964529454307,0.16684027777777774
0.1,5,0.1414381574494226,0.1638888888888889,0.05630074068710528,0.16388888888888886
0.1,6,0.14074173504848292,0.16197916666666667,0.05923392202642454,0.16197916666666662
0.1,7,0.1304136538776684,0.14947916666666666,0.04876004319313508,0.14947916666666666
0.1,8,0.14141410211216315,0.1638888888888889,0.056832296039012756,0.1638888888888889
0.1,9,0.14284379601991606,0.1675347222222222,0.05348836767569824,0.16753472222222227
0.2,0,0.15270196013828932,0.18194444444444444,0.06482592562194646,0.1819444444444444
0.2,1,0.14643668703719656,0.171875,0.058289670586387156,0.17187499999999994
0.2,2,0.14282952710592492,0.17100694444444445,0.04920737613161154,0.17100694444444442
0.2,3,0.15451376792694982,0.18628472222222223,0.05571964184244409,0.1862847222222222
0.2,4,0.14757682968170213,0.17743055555555556,0.05208579114611916,0.17743055555555554
0.2,5,0.15285053859745631,0.18368055555555557,0.053226073930413995,0.1836805555555555
0.2,6,0.15033181797174874,0.18020833333333333,0.053768088165929706,0.18020833333333333
0.2,7,0.13923604901613595,0.1642361111111111,0.05172987466047821,0.16423611111111108
0.2,8,0.1446358045824651,0.17083333333333334,0.05183839980182954,0.17083333333333334
0.2,9,0.14900542365781072,0.1798611111111111,0.052347553892634735,0.17986111111111114
0.35,0,0.16379708139337948,0.203125,0.05462307050878758,0.203125
0.35,1,0.1612565659299466,0.20069444444444445,0.0568695683970287,0.2006944444444445
0.35,2,0.15195565736536054,0.18611111111111112,0.055195785556532984,0.18611111111111117
0.35,3,0.1627478629407917,0.2032986111111111,0.0501097256759628,0.20329861111111108
0.35,4,0.16546300973519126,0.20555555555555555,0.06046089258390264,0.20555555555555555
0.35,5,0.16051863798367075,0.20052083333333334,0.05357496269204276,0.20052083333333337
0.35,6,0.1626315027039769,0.20520833333333333,0.04725928186682681,0.20520833333333338
0.35,7,0.15115155597116034,0.1859375,0.04679101209418263,0.1859375
0.35,8,0.15975519884883538,0.20104166666666667,0.04958078079143378,0.20104166666666665
0.35,9,0.161707037151685,0.20416666666666666,0.051785434830878455,0.20416666666666666
0.5,0,0.17090296546804082,0.2203125,0.049977253144704456,0.22031250000000002
0.5,1,0.16952993752985318,0.2189236111111111,0.049042737344937304,0.21892361111111108
0.5,2,0.16182562983683796,0.20590277777777777,0.04906191693829263,0.20590277777777782
0.5,3,0.17350182118268848,0.225,0.047206384541686255,0.22499999999999998
0.5,4,0.16897321072458016,0.21336805555555555,0.051502059808597664,0.2133680555555556
0.5,5,0.17037382765707995,0.21979166666666666,0.047026189126445406,0.21979166666666666
0.5,6,0.17343298104091132,0.22361111111111112,0.04869270417393817,0.22361111111111107
0.5,7,0.16298626831352034,0.20694444444444443,0.047590647660338006,0.20694444444444446
0.5,8,0.17066895800495901,0.21770833333333334,0.05556040214965832,0.2177083333333333
0.5,9,0.17199296032581984,0.22413194444444445,0.04691745443945253,0.2241319444444444
