able_rate,bond,default_rate,gift,involuntary_default_rate,mean_borrower_mana,mean_lender_loss,n,principal_sigma,rho,rho_star,strategic_default_rate,total_lender_loss,w_rep
0.4,0.0,0.6,0.0,0.6,993.6905929091561,993.4918958573858,200,0.0,1.0,0.9029126213592233,0.0,198698.37917147717,500.0
1.0,0.0,0.0,5010.0,0.0,5010.19869705177,0.0,200,0.0,1.0,0.9029126213592233,0.0,0.0,500.0
0.4,0.0,1.0,0.0,0.6,5150.19869705177,5150.0,200,0.0,0.0,0.8058252427184466,0.4,1030000.0,1000.0
1.0,0.0,1.0,5010.0,0.0,10160.198697051768,5150.0,200,0.0,0.0,0.8058252427184466,1.0,1030000.0,1000.0
0.4,0.0,1.0,0.0,0.6,5150.19869705177,5150.0,200,0.0,0.1,0.8058252427184466,0.4,1030000.0,1000.0
1.0,0.0,1.0,5010.0,0.0,10160.198697051768,5150.0,200,0.0,0.1,0.8058252427184466,1.0,1030000.0,1000.0
0.4,0.0,1.0,0.0,0.6,5150.19869705177,5150.0,200,0.0,0.2,0.8058252427184466,0.4,1030000.0,1000.0
1.0,0.0,1.0,5010.0,0.0,10160.198697051768,5150.0,200,0.0,0.2,0.8058252427184466,1.0,1030000.0,1000.0
0.4,0.0,1.0,0.0,0.6,5150.19869705177,5150.0,200,0.0,0.3,0.8058252427184466,0.4,1030000.0,1000.0
1.0,0.0,1.0,5010.0,0.0,10160.198697051768,5150.0,200,0.0,0.3,0.8058252427184466,1.0,1030000.0,1000.0
0.4,0.0,1.0,0.0,0.6,5150.19869705177,5150.0,200,0.0,0.4,0.8058252427184466,0.4,1030000.0,1000.0
1.0,0.0,1.0,5010.0,0.0,10160.198697051768,5150.0,200,0.0,0.4,0.8058252427184466,1.0,1030000.0,1000.0
0.4,0.0,1.0,0.0,0.6,5150.19869705177,5150.0,200,0.0,0.5,0.8058252427184466,0.4,1030000.0,1000.0
1.0,0.0,1.0,5010.0,0.0,10160.198697051768,5150.0,200,0.0,0.5,0.8058252427184466,1.0,1030000.0,1000.0
0.4,0.0,1.0,0.0,0.6,5150.19869705177,5150.0,200,0.0,0.6,0.8058252427184466,0.4,1030000.0,1000.0
1.0,0.0,1.0,5010.0,0.0,10160.198697051768,5150.0,200,0.0,0.6,0.8058252427184466,1.0,1030000.0,1000.0
0.4,0.0,1.0,0.0,0.6,5150.19869705177,5150.0,200,0.0,0.7,0.8058252427184466,0.4,1030000.0,1000.0
1.0,0.0,1.0,5010.0,0.0,10160.198697051768,5150.0,200,0.0,0.7,0.8058252427184466,1.0,1030000.0,1000.0
0.4,0.0,1.0,0.0,0.6,5150.19869705177,5150.0,200,0.0,0.8,0.8058252427184466,0.4,1030000.0,1000.0
1.0,0.0,1.0,5010.0,0.0,10160.198697051768,5150.0,200,0.0,0.8,0.8058252427184466,1.0,1030000.0,1000.0
0.4,0.0,0.6,0.0,0.6,3090.19869705177,3090.0,200,0.0,0.9,0.8058252427184466,0.0,618000.0,1000.0
1.0,0.0,0.0,5010.0,0.0,5010.19869705177,0.0,200,0.0,0.9,0.8058252427184466,0.0,0.0,1000.0
0.4,0.0,0.6,0.0,0.6,993.6905929091561,993.4918958573858,200,0.0,1.0,0.8058252427184466,0.0,198698.37917147717,1000.0
1.0,0.0,0.0,5010.0,0.0,5010.19869705177,0.0,200,0.0,1.0,0.8058252427184466,0.0,0.0,1000.0
0.4,0.0,1.0,0.0,0.6,5150.19869705177,5150.0,200,0.0,0.0,0.5145631067961165,0.4,1030000.0,2500.0
1.0,0.0,1.0,5010.0,0.0,10160.198697051768,5150.0,200,0.0,0.0,0.5145631067961165,1.0,1030000.0,2500.0
0.4,0.0,1.0,0.0,0.6,5150.19869705177,5150.0,200,0.0,0.1,0.5145631067961165,0.4,1030000.0,2500.0
1.0,0.0,1.0,5010.0,0.0,10160.198697051768,5150.0,200,0.0,0.1,0.5145631067961165,1.0,1030000.0,2500.0
0.4,0.0,1.0,0.0,0.6,5150.19869705177,5150.0,200,0.0,0.2,0.5145631067961165,0.4,1030000.0,2500.0
1.0,0.0,1.0,5010.0,0.0,10160.198697051768,5150.0,200,0.0,0.2,0.5145631067961165,1.0,1030000.0,2500.0
0.4,0.0,1.0,0.0,0.6,5150.19869705177,5150.0,200,0.0,0.3,0.5145631067961165,0.4,1030000.0,2500.0
1.0,0.0,1.0,5010.0,0.0,10160.198697051768,5150.0,200,0.0,0.3,0.5145631067961165,1.0,1030000.0,2500.0
0.4,0.0,1.0,0.0,0.6,5150.19869705177,5150.0,200,0.0,0.4,0.5145631067961165,0.4,1030000.0,2500.0
1.0,0.0,1.0,5010.0,0.0,10160.198697051768,5150.0,200,0.0,0.4,0.5145631067961165,1.0,1030000.0,2500.0
0.4,0.0,1.0,0.0,0.6,5150.19869705177,5150.0,200,0.0,0.5,0.5145631067961165,0.4,1030000.0,2500.0
1.0,0.0,1.0,5010.0,0.0,10160.198697051768,5150.0,200,0.0,0.5,0.5145631067961165,1.0,1030000.0,2500.0
0.4,0.0,0.6,0.0,0.6,3090.19869705177,3090.0,200,0.0,0.6,0.5145631067961165,0.0,618000.0,2500.0
1.0,0.0,0.0,5010.0,0.0,5010.19869705177,0.0,200,0.0,0.6,0.5145631067961165,0.0,0.0,2500.0
0.4,0.0,0.6,0.0,0.6,3090.19869705177,3090.0,200,0.0,0.7,0.5145631067961165,0.0,618000.0,2500.0
1.0,0.0,0.0,5010.0,0.0,5010.19869705177,0.0,200,0.0,0.7,0.5145631067961165,0.0,0.0,2500.0
0.4,0.0,0.6,0.0,0.6,3090.19869705177,3090.0,200,0.0,0.8,0.5145631067961165,0.0,618000.0,2500.0
1.0,0.0,0.0,5010.0,0.0,5010.19869705177,0.0,200,0.0,0.8,0.5145631067961165,0.0,0.0,2500.0
0.4,0.0,0.6,0.0,0.6,3090.19869705177,3090.0,200,0.0,0.9,0.5145631067961165,0.0,618000.0,2500.0
1.0,0.0,0.0,5010.0,0.0,5010.19869705177,0.0,200,0.0,0.9,0.5145631067961165,0.0,0.0,2500.0
0.4,0.0,0.6,0.0,0.6,993.6905929091561,993.4918958573858,200,0.0,1.0,0.5145631067961165,0.0,198698.37917147717,2500.0
1.0,0.0,0.0,5010.0,0.0,5010.19869705177,0.0,200,0.0,1.0,0.5145631067961165,0.0,0.0,2500.0
0.4,0.0,1.0,0.0,0.6,5150.19869705177,5150.0,200,0.0,0.0,0.029126213592232997,0.4,1030000.0,5000.0
1.0,0.0,1.0,5010.0,0.0,10160.198697051768,5150.0,200,0.0,0.0,0.029126213592232997,1.0,1030000.0,5000.0
0.4,0.0,0.6,0.0,0.6,3090.19869705177,3090.0,200,0.0,0.1,0.029126213592232997,0.0,618000.0,5000.0
1.0,0.0,0.0,5010.0,0.0,5010.19869705177,0.0,200,0.0,0.1,0.029126213592232997,0.0,0.0,5000.0
0.4,0.0,0.6,0.0,0.6,3090.19869705177,3090.0,200,0.0,0.2,0.029126213592232997,0.0,618000.0,5000.0
1.0,0.0,0.0,5010.0,0.0,5010.19869705177,0.0,200,0.0,0.2,0.029126213592232997,0.0,0.0,5000.0
0.4,0.0,0.6,0.0,0.6,3090.19869705177,3090.0,200,0.0,0.3,0.029126213592232997,0.0,618000.0,5000.0
1.0,0.0,0.0,5010.0,0.0,5010.19869705177,0.0,200,0.0,0.3,0.029126213592232997,0.0,0.0,5000.0
0.4,0.0,0.6,0.0,0.6,3090.19869705177,3090.0,200,0.0,0.4,0.029126213592232997,0.0,618000.0,5000.0
1.0,0.0,0.0,5010.0,0.0,5010.19869705177,0.0,200,0.0,0.4,0.029126213592232997,0.0,0.0,5000.0
0.4,0.0,0.6,0.0,0.6,3090.19869705177,3090.0,200,0.0,0.5,0.029126213592232997,0.0,618000.0,5000.0
1.0,0.0,0.0,5010.0,0.0,5010.19869705177,0.0,200,0.0,0.5,0.029126213592232997,0.0,0.0,5000.0
0.4,0.0,0.6,0.0,0.6,3090.19869705177,3090.0,200,0.0,0.6,0.029126213592232997,0.0,618000.0,5000.0
1.0,0.0,0.0,5010.0,0.0,5010.19869705177,0.0,200,0.0,0.6,0.029126213592232997,0.0,0.0,5000.0
0.4,0.0,0.6,0.0,0.6,3090.19869705177,3090.0,200,0.0,0.7,0.029126213592232997,0.0,618000.0,5000.0
1.0,0.0,0.0,5010.0,0.0,5010.19869705177,0.0,200,0.0,0.7,0.029126213592232997,0.0,0.0,5000.0
0.4,0.0,0.6,0.0,0.6,3090.19869705177,3090.0,200,0.0,0.8,0.029126213592232997,0.0,618000.0,5000.0
1.0,0.0,0.0,5010.0,0.0,5010.19869705177,0.0,200,0.0,0.8,0.029126213592232997,0.0,0.0,5000.0
0.4,0.0,0.6,0.0,0.6,3090.19869705177,3090.0,200,0.0,0.9,0.029126213592232997,0.0,618000.0,5000.0
1.0,0.0,0.0,5010.0,0.0,5010.19869705177,0.0,200,0.0,0.9,0.029126213592232997,0.0,0.0,5000.0
