able_rate,bond,default_rate,gift,involuntary_default_rate,mean_borrower_mana,mean_lender_loss,n,principal_sigma,rho,rho_star,strategic_default_rate,total_lender_loss,w_rep
0.4,0.0,0.6,0.0,0.6,993.6905929091561,993.4918958573858,200,0.0,1.0,0.029126213592232997,0.0,198698.37917147717,5000.0
1.0,0.0,0.0,5010.0,0.0,5010.19869705177,0.0,200,0.0,1.0,0.029126213592232997,0.0,0.0,5000.0
0.4,2500.0,1.0,0.0,0.6,5179.073973593896,2678.8752765421254,200,0.0,0.0,1.0,0.4,535775.0553084251,0.0
1.0,2500.0,1.0,5010.0,0.0,10160.198697051768,2650.0,200,0.0,0.0,1.0,1.0,530000.0,0.0
0.4,2500.0,1.0,0.0,0.6,5179.073973593896,2678.8752765421254,200,0.0,0.1,1.0,0.4,535775.0553084251,0.0
1.0,2500.0,1.0,5010.0,0.0,10160.198697051768,2650.0,200,0.0,0.1,1.0,1.0,530000.0,0.0
0.4,2500.0,1.0,0.0,0.6,5179.073973593896,2678.8752765421254,200,0.0,0.2,1.0,0.4,535775.0553084251,0.0
1.0,2500.0,1.0,5010.0,0.0,10160.198697051768,2650.0,200,0.0,0.2,1.0,1.0,530000.0,0.0
0.4,2500.0,1.0,0.0,0.6,5179.073973593896,2678.8752765421254,200,0.0,0.3,1.0,0.4,535775.0553084251,0.0
1.0,2500.0,1.0,5010.0,0.0,10160.198697051768,2650.0,200,0.0,0.3,1.0,1.0,530000.0,0.0
0.4,2500.0,1.0,0.0,0.6,5179.073973593896,2678.8752765421254,200,0.0,0.4,1.0,0.4,535775.0553084251,0.0
1.0,2500.0,1.0,5010.0,0.0,10160.198697051768,2650.0,200,0.0,0.4,1.0,1.0,530000.0,0.0
0.4,2500.0,1.0,0.0,0.6,5179.073973593896,2678.8752765421254,200,0.0,0.5,1.0,0.4,535775.0553084251,0.0
1.0,2500.0,1.0,5010.0,0.0,10160.198697051768,2650.0,200,0.0,0.5,1.0,1.0,530000.0,0.0
0.4,2500.0,1.0,0.0,0.6,5179.073973593896,2678.8752765421254,200,0.0,0.6,1.0,0.4,535775.0553084251,0.0
1.0,2500.0,1.0,5010.0,0.0,10160.198697051768,2650.0,200,0.0,0.6,1.0,1.0,530000.0,0.0
0.4,2500.0,1.0,0.0,0.6,5179.073973593896,2678.8752765421254,200,0.0,0.7,1.0,0.4,535775.0553084251,0.0
1.0,2500.0,1.0,5010.0,0.0,10160.198697051768,2650.0,200,0.0,0.7,1.0,1.0,530000.0,0.0
0.4,2500.0,1.0,0.0,0.6,5179.073973593896,2678.8752765421254,200,0.0,0.8,1.0,0.4,535775.0553084251,0.0
1.0,2500.0,1.0,5010.0,0.0,10160.198697051768,2650.0,200,0.0,0.8,1.0,1.0,530000.0,0.0
0.4,2500.0,1.0,0.0,0.6,5179.073973593896,2678.8752765421254,200,0.0,0.9,1.0,0.4,535775.0553084251,0.0
1.0,2500.0,1.0,5010.0,0.0,10160.198697051768,2650.0,200,0.0,0.9,1.0,1.0,530000.0,0.0
0.4,2500.0,0.6,0.0,0.6,3493.6905929091563,993.4918958573858,200,0.0,1.0,1.0,0.0,198698.37917147717,0.0
1.0,2500.0,0.0,5010.0,0.0,7510.19869705177,0.0,200,0.0,1.0,1.0,0.0,0.0,0.0
0.4,2500.0,1.0,0.0,0.6,5179.073973593896,2678.8752765421254,200,0.0,0.0,0.8113207547169812,0.4,535775.0553084251,500.0
1.0,2500.0,1.0,5010.0,0.0,10160.198697051768,2650.0,200,0.0,0.0,0.8113207547169812,1.0,530000.0,500.0
0.4,2500.0,1.0,0.0,0.6,5179.073973593896,2678.8752765421254,200,0.0,0.1,0.8113207547169812,0.4,535775.0553084251,500.0
1.0,2500.0,1.0,5010.0,0.0,10160.198697051768,2650.0,200,0.0,0.1,0.8113207547169812,1.0,530000.0,500.0
0.4,2500.0,1.0,0.0,0.6,5179.073973593896,2678.8752765421254,200,0.0,0.2,0.8113207547169812,0.4,535775.0553084251,500.0
1.0,2500.0,1.0,5010.0,0.0,10160.198697051768,2650.0,200,0.0,0.2,0.8113207547169812,1.0,530000.0,500.0
0.4,2500.0,1.0,0.0,0.6,5179.073973593896,2678.8752765421254,200,0.0,0.3,0.8113207547169812,0.4,535775.0553084251,500.0
1.0,2500.0,1.0,5010.0,0.0,10160.198697051768,2650.0,200,0.0,0.3,0.8113207547169812,1.0,530000.0,500.0
0.4,2500.0,1.0,0.0,0.6,5179.073973593896,2678.8752765421254,200,0.0,0.4,0.8113207547169812,0.4,535775.0553084251,500.0
1.0,2500.0,1.0,5010.0,0.0,10160.198697051768,2650.0,200,0.0,0.4,0.8113207547169812,1.0,530000.0,500.0
0.4,2500.0,1.0,0.0,0.6,5179.073973593896,2678.8752765421254,200,0.0,0.5,0.8113207547169812,0.4,535775.0553084251,500.0
1.0,2500.0,1.0,5010.0,0.0,10160.198697051768,2650.0,200,0.0,0.5,0.8113207547169812,1.0,530000.0,500.0
0.4,2500.0,1.0,0.0,0.6,5179.073973593896,2678.8752765421254,200,0.0,0.6,0.8113207547169812,0.4,535775.0553084251,500.0
1.0,2500.0,1.0,5010.0,0.0,10160.198697051768,2650.0,200,0.0,0.6,0.8113207547169812,1.0,530000.0,500.0
0.4,2500.0,1.0,0.0,0.6,5179.073973593896,2678.8752765421254,200,0.0,0.7,0.8113207547169812,0.4,535775.0553084251,500.0
1.0,2500.0,1.0,5010.0,0.0,10160.198697051768,2650.0,200,0.0,0.7,0.8113207547169812,1.0,530000.0,500.0
0.4,2500.0,1.0,0.0,0.6,5179.073973593896,2678.8752765421254,200,0.0,0.8,0.8113207547169812,0.4,535775.0553084251,500.0
1.0,2500.0,1.0,5010.0,0.0,10160.198697051768,2650.0,200,0.0,0.8,0.8113207547169812,1.0,530000.0,500.0
0.4,2500.0,0.6,0.0,0.6,4119.073973593896,1618.8752765421254,200,0.0,0.9,0.8113207547169812,0.0,323775.0553084251,500.0
1.0,2500.0,0.0,5010.0,0.0,7510.19869705177,0.0,200,0.0,0.9,0.8113207547169812,0.0,0.0,500.0
0.4,2500.0,0.6,0.0,0.6,3493.6905929091563,993.4918958573858,200,0.0,1.0,0.8113207547169812,0.0,198698.37917147717,500.0
1.0,2500.0,0.0,5010.0,0.0,7510.19869705177,0.0,200,0.0,1.0,0.8113207547169812,0.0,0.0,500.0
0.4,2500.0,1.0,0.0,0.6,5179.073973593896,2678.8752765421254,200,0.0,0.0,0.6226415094339622,0.4,535775.0553084251,1000.0
1.0,2500.0,1.0,5010.0,0.0,10160.198697051768,2650.0,200,0.0,0.0,0.6226415094339622,1.0,530000.0,1000.0
0.4,2500.0,1.0,0.0,0.6,5179.073973593896,2678.8752765421254,200,0.0,0.1,0.6226415094339622,0.4,535775.0553084251,1000.0
1.0,2500.0,1.0,5010.0,0.0,10160.198697051768,2650.0,200,0.0,0.1,0.6226415094339622,1.0,530000.0,1000.0
0.4,2500.0,1.0,0.0,0.6,5179.073973593896,2678.8752765421254,200,0.0,0.2,0.6226415094339622,0.4,535775.0553084251,1000.0
1.0,2500.0,1.0,5010.0,0.0,10160.198697051768,2650.0,200,0.0,0.2,0.6226415094339622,1.0,530000.0,1000.0
0.4,2500.0,1.0,0.0,0.6,5179.073973593896,2678.8752765421254,200,0.0,0.3,0.6226415094339622,0.4,535775.0553084251,1000.0
1.0,2500.0,1.0,5010.0,0.0,10160.198697051768,2650.0,200,0.0,0.3,0.6226415094339622,1.0,530000.0,1000.0
0.4,2500.0,1.0,0.0,0.6,5179.073973593896,2678.8752765421254,200,0.0,0.4,0.6226415094339622,0.4,535775.0553084251,1000.0
1.0,2500.0,1.0,5010.0,0.0,10160.198697051768,2650.0,200,0.0,0.4,0.6226415094339622,1.0,530000.0,1000.0
0.4,2500.0,1.0,0.0,0.6,5179.073973593896,2678.8752765421254,200,0.0,0.5,0.6226415094339622,0.4,535775.0553084251,1000.0
1.0,2500.0,1.0,5010.0,0.0,10160.198697051768,2650.0,200,0.0,0.5,0.6226415094339622,1.0,530000.0,1000.0
0.4,2500.0,1.0,0.0,0.6,5179.073973593896,2678.8752765421254,200,0.0,0.6,0.6226415094339622,0.4,535775.0553084251,1000.0
1.0,2500.0,1.0,5010.0,0.0,10160.198697051768,2650.0,200,0.0,0.6,0.6226415094339622,1.0,530000.0,1000.0
0.4,2500.0,0.6,0.0,0.6,4119.073973593896,1618.8752765421254,200,0.0,0.7,0.6226415094339622,0.0,323775.0553084251,1000.0
1.0,2500.0,0.0,5010.0,0.0,7510.19869705177,0.0,200,0.0,0.7,0.6226415094339622,0.0,0.0,1000.0
0.4,2500.0,0.6,0.0,0.6,4119.073973593896,1618.8752765421254,200,0.0,0.8,0.6226415094339622,0.0,323775.0553084251,1000.0
1.0,2500.0,0.0,5010.0,0.0,7510.19869705177,0.0,200,0.0,0.8,0.6226415094339622,0.0,0.0,1000.0
0.4,2500.0,0.6,0.0,0.6,4119.073973593896,1618.8752765421254,200,0.0,0.9,0.6226415094339622,0.0,323775.0553084251,1000.0
1.0,2500.0,0.0,5010.0,0.0,7510.19869705177,0.0,200,0.0,0.9,0.6226415094339622,0.0,0.0,1000.0
0.4,2500.0,0.6,0.0,0.6,3493.6905929091563,993.4918958573858,200,0.0,1.0,0.6226415094339622,0.0,198698.37917147717,1000.0
