governance.audit_probability,governance.staking_enabled,payoff.rho_a,seed,run_index,toxicity_rate,quality_gap,welfare,mean_p,n_interactions,n_accepted,n_rejected,adverse_selection_rate,confidence_correlation,mean_confidence,n_plans,n_cache_hits,audited_violations,honest_mean_p,opportunistic_mean_p,worker_mean_p,p_gap_honest_vs_opp
0.0,True,0.0,0,0,0.22998846750835455,0.47306425874571556,975.0083022174073,0.6602212024410773,2400,1843,557,0.0,-0.3692440135624125,0.7907266666666666,300,127,0,0.7403046906497164,0.5834569771408964,0.6544397348393736,0.15684771350881999
0.0,True,0.0,1,1,0.23123866608033972,0.4711331165015256,928.6262515758646,0.6507817493290698,2400,1799,601,0.0,-0.39507696238736073,0.78544,300,118,0,0.7386686450610219,0.5695136947636976,0.6440401107913958,0.1691549502973243
0.0,True,0.0,2,2,0.23172867874936728,0.47107415995357776,978.3629303278856,0.6616907925611357,2400,1857,543,0.0,-0.44894888843282715,0.7829166666666667,300,99,0,0.7413935419651516,0.5926222149528356,0.6549593863614394,0.148771327012316
0.0,True,0.0,3,3,0.23256441285900106,0.46957221673698624,963.5023730021796,0.6586513569302638,2400,1844,556,0.0,-0.4463939562686304,0.7844033333333333,300,118,0,0.7374441830386429,0.5898957085902303,0.6520602114872592,0.14754847444841257
0.0,True,0.0,4,4,0.2333245627252345,0.467629464425506,987.1046564739983,0.6653557199825725,2400,1880,520,0.0,-0.2946331711429559,0.79625,300,108,0,0.7429630343384753,0.5992939425869331,0.6586424940974772,0.1436690917515422
0.0,True,0.0,5,5,0.23119237233942816,0.47188887434590493,947.8453445905626,0.6547678163603114,2400,1820,580,0.0,-0.4258749463189152,0.7926,300,114,0,0.7382930911084364,0.5725851635406782,0.6490204484533042,0.1657079275677582
0.0,True,0.0,6,6,0.23172310880563995,0.4706945267459378,969.5851946344864,0.6594287818843619,2400,1845,555,0.0,-0.4072967067577616,0.7896,300,121,0,0.736862652576107,0.5909215365839534,0.6530763071194008,0.14594111599215354
0.0,True,0.0,7,7,0.23365895074987486,0.46771918514765404,946.9975392691726,0.6562321577466149,2400,1835,565,0.0,-0.3480770076516622,0.80016,300,110,0,0.7354871011251682,0.5892880702592379,0.6493070474025545,0.14619903086593034
0.0,True,0.0,8,8,0.23218753030485426,0.4704590279991649,978.2803269610952,0.6623512375853329,2400,1862,538,0.0,-0.41478439854696175,0.7918266666666667,300,119,0,0.7470510665362198,0.5814272571965565,0.6562011358469925,0.16562380933966325
0.0,True,0.0,9,9,0.23221348001007405,0.46993002501770165,960.573355001999,0.6583319849962196,2400,1841,559,0.0,-0.4237750874208723,0.7965066666666667,300,101,0,0.7352045318256515,0.5908181445843602,0.6519593210185811,0.14438638724129127
0.0,True,0.1,0,10,0.23430477539994923,0.4689227225556751,905.4910415304419,0.6554983847994671,2400,1836,564,0.0,-0.3748642143234263,0.78811,300,117,0,0.7440835683982845,0.5669939371247817,0.6495819411029952,0.17708963127350275
0.0,True,0.1,1,11,0.23187899934957953,0.46904391560539527,964.1190198228696,0.6676674287249317,2400,1886,514,0.0,-0.43356068128649017,0.78284,300,108,0,0.7469835994590202,0.5995931257572618,0.6608807683071366,0.1473904737017584
0.0,True,0.1,2,12,0.23152581520679322,0.47182908822403063,923.6452829688649,0.6579875399674129,2400,1838,562,0.0,-0.3544654425185678,0.79879,300,99,0,0.7361602945474094,0.5808795655189383,0.6526340523112103,0.15528072902847112
0.0,True,0.1,3,13,0.23370970186866513,0.468932757272111,938.5096117573669,0.6623435369360169,2400,1868,532,0.0,-0.3655045650146444,0.78917,300,111,0,0.7414825260730513,0.5883941504517237,0.6563756573065158,0.1530883756213276
0.0,True,0.1,4,14,0.23270189428454263,0.46935715333926437,936.3968635814473,0.6618883116946809,2400,1861,539,0.0,-0.46218095662789793,0.78241,300,134,0,0.7461088512401561,0.5872093049616574,0.6550014046833225,0.15889954627849878
0.0,True,0.1,5,15,0.2343173124790721,0.46754645194930927,969.8682001429725,0.6690564207847374,2400,1904,496,0.0,-0.34631967178139433,0.7877333333333333,300,106,0,0.7441708451227784,0.6144234649038827,0.6613179300345764,0.12974738021889576
0.0,True,0.1,6,16,0.23197422024530567,0.47185052516170645,907.9641630949377,0.6547816537158848,2400,1824,576,0.0,-0.2919663985253781,0.7928000000000001,300,114,0,0.73638272217619,0.5738363630506133,0.6492541454458599,0.1625463591255768
0.0,True,0.1,7,17,0.23313322682121387,0.4704503634180001,894.388080696176,0.6519984761108911,2400,1814,586,0.0,-0.40973758890193884,0.7926466666666667,300,112,0,0.7359150446212375,0.5722927811237131,0.6458425884071123,0.1636222634975244
0.0,True,0.1,8,18,0.23401576856182305,0.46945603669047353,954.7904319985696,0.6654423969136338,2400,1886,514,0.0,-0.3604189126722626,0.8024566666666666,300,103,0,0.7428367980515744,0.6027216754455007,0.6583262795484636,0.14011512260607373
0.0,True,0.1,9,19,0.2337618642357914,0.4684389980323313,912.836064808524,0.6571308858058448,2400,1841,559,0.0,-0.3650470218148612,0.7889066666666666,300,133,0,0.7411630254978573,0.5820172803143328,0.6503396052663105,0.15914574518352453
0.0,True,0.2,0,20,0.23112227849988115,0.47059403174756004,882.4699315536134,0.6582881240394423,2400,1836,564,0.0,-0.37434310923506364,0.78859,300,115,0,0.7427350764795561,0.5756225317627808,0.652420812521641,0.16711254471677528
0.0,True,0.2,1,21,0.23154058245705722,0.47330250207671754,885.729664843928,0.6582193764342407,2400,1841,559,0.0,-0.386284667047535,0.8009466666666666,300,113,0,0.7397779177650418,0.5823260792450622,0.6520267744599709,0.15745183851997957
0.0,True,0.2,2,22,0.23195956608211607,0.4726204000972939,901.9467561855724,0.6613069935625784,2400,1858,542,0.0,-0.38458927835071866,0.7880533333333333,300,120,0,0.7464041800531352,0.5755101046732144,0.6557271414497156,0.17089407537992085
0.0,True,0.2,3,23,0.23329769956095278,0.4708402235895221,848.1315298563998,0.650954078806623,2400,1810,590,0.0,-0.39050879271333067,0.7948566666666667,300,118,0,0.7354190776667847,0.5680691765963183,0.645112399329298,0.16734990107046643
0.0,True,0.2,4,24,0.22990476842425928,0.4752884161799045,878.7926249185064,0.6564220853727136,2400,1826,574,0.0,-0.4068763236105029,0.78868,300,111,0,0.7425234473608328,0.5685194274833361,0.6509221673603401,0.1740040198774967
0.0,True,0.2,5,25,0.23444467287073661,0.4683082843819078,889.4510138264504,0.6599908346915083,2400,1859,541,0.0,-0.3834646559960984,0.7926533333333333,300,123,0,0.74257506857619,0.5895109587508627,0.652871304706658,0.15306410982532737
0.0,True,0.2,6,26,0.23308241985094383,0.4699626798942325,875.3103238167984,0.6572596215070686,2400,1840,560,0.0,-0.405231570478421,0.7924500000000001,300,100,0,0.7452329319376095,0.5741920011183194,0.6507406421394603,0.17104093081929017
0.0,True,0.2,7,27,0.23461939132021706,0.4670418549136498,858.7453408882856,0.6542635673649104,2400,1829,571,0.0,-0.39010132413061005,0.7829633333333333,300,105,0,0.7361558312883444,0.5729386693315508,0.648728434318005,0.1632171619567936
0.0,True,0.2,8,28,0.23328190918845693,0.46963589338345246,894.9170015746981,0.6610500148002663,2400,1860,540,0.0,-0.37354087656963375,0.7869233333333333,300,107,0,0.7363111193077934,0.5959713021650709,0.6546749555834536,0.14033981714272248
0.0,True,0.2,9,29,0.23117048771242402,0.4714198531740608,891.9061846714999,0.6596172463022518,2400,1844,556,0.0,-0.44249893449760735,0.7975166666666667,300,108,0,0.7440121633942078,0.5806778071529723,0.653263521437098,0.1633343562412355
0.0,True,0.4,0,30,0.2359741128085881,0.4673763111603105,787.2945757758978,0.65575037510594,2400,1844,556,0.0,-0.35008531928501163,0.78904,300,99,0,0.7365784086811688,0.5897552790796088,0.6483841145277384,0.14682312960155997
0.0,True,0.4,1,31,0.23038038100432298,0.4726748447806172,779.5750013941818,0.6538142820244258,2400,1812,588,0.0,-0.4552724213961615,0.7954133333333333,300,103,0,0.7388423353154993,0.5639324120541781,0.6487929206955774,0.17490992326132115
0.0,True,0.4,2,32,0.231830224864189,0.4701774001244947,807.1963259694503,0.6588535296068659,2400,1842,558,0.0,-0.37539591987780224,0.7935766666666667,300,110,0,0.7468980370511392,0.5748150435651307,0.6524497595902428,0.17208299348600853
0.0,True,0.4,3,33,0.23635868514248815,0.4672921782010034,778.1510557691741,0.6548011783515281,2400,1841,559,0.0,-0.39422400564812055,0.7829699999999999,300,118,0,0.7455013583326037,0.574766632081372,0.6473324151913338,0.17073472625123165
0.0,True,0.4,4,34,0.23536442473047317,0.46771006222859796,840.1519077115646,0.6648574286607593,2400,1888,512,0.0,-0.4389018143902513,0.8006133333333333,300,121,0,0.7384613784544973,0.605414468538254,0.6580623667183456,0.13304690991624335
0.0,True,0.4,5,35,0.23169245047899753,0.470844988059244,787.2545160048694,0.655304752386784,2400,1824,576,0.0,-0.42256522328059837,0.78367,300,109,0,0.7413078569911585,0.582578188192782,0.6478010066917759,0.15872966879837658
0.0,True,0.4,6,36,0.23312385930341287,0.46988256943122547,788.3845195216084,0.6558663836684601,2400,1833,567,0.0,-0.4048344322582148,0.7900666666666667,300,107,0,0.7430825074327577,0.5710047468011893,0.6497380438312367,0.17207776063156843
0.0,True,0.4,7,37,0.23334748995479487,0.4702690066599786,788.3085829040995,0.6551595663829018,2400,1831,569,0.0,-0.3840699380036907,0.7981633333333333,300,121,0,0.7337865924964425,0.5873801521867364,0.6484714163863491,0.14640644030970607
0.0,True,0.4,8,38,0.23157939928799084,0.469843362841099,821.9694193064629,0.6617270037335096,2400,1855,545,0.0,-0.301557347229661,0.78508,300,104,0,0.7492360809231852,0.5810847262212139,0.6549774919638804,0.1681513547019713
0.0,True,0.4,9,39,0.2323654831769845,0.469401108012483,766.7673695362239,0.6524356615649519,2400,1811,589,0.0,-0.48742551089432695,0.79645,300,106,0,0.7399870379694533,0.5672435873783829,0.6462843295089276,0.17274345059107044
0.0,False,0.0,0,40,0.23382220606949772,0.4696578881772417,964.7129752675789,0.6595263151569203,2400,1855,545,0.0,-0.3746484025777257,0.7879333333333333,300,115,0,0.7424378572665409,0.5873359501240434,0.6525693887393798,0.1551019071424975
0.0,False,0.0,1,41,0.23234463930627577,0.4704221316779997,964.2217958367063,0.6594582704077844,2400,1848,552,0.0,-0.37815065911262147,0.7820866666666667,300,113,0,0.7377915535884548,0.589176718626218,0.6531624873425257,0.14861483496223682
0.0,False,0.0,2,42,0.23023631519843754,0.4729886317991459,971.4762513361196,0.659990906504844,2400,1843,557,0.0,-0.3457546314948763,0.7893366666666666,300,112,0,0.7416113949079981,0.5844853844591741,0.6537342117636359,0.15712601044882402
0.0,False,0.0,3,43,0.23578385742315183,0.46726330900699564,898.7346112617369,0.6450639987800643,2400,1788,612,0.0,-0.4438419704448714,0.7907866666666666,300,109,0,0.7282480053005748,0.5637069607069051,0.6392748025523834,0.1645410445936697
0.0,False,0.0,4,44,0.23586779486036144,0.4668773795986887,920.5718204373709,0.6503308438624581,2400,1815,585,0.0,-0.3613488678683518,0.79437,300,118,0,0.7391946972284119,0.5733354313064611,0.6428241281967337,0.16585926592195077
0.0,False,0.0,5,45,0.2327817188727733,0.4691179046303226,989.2230668022236,0.6651851368701316,2400,1878,522,0.0,-0.4477997316678079,0.7900266666666667,300,115,0,0.7422016566490168,0.6004560199243986,0.6584123818404523,0.14174563672461826
0.0,False,0.0,6,46,0.2332014534433222,0.4701947335505721,943.8266435982265,0.6543436394491661,2400,1826,574,0.0,-0.3477279304956257,0.7916766666666667,300,108,0,0.7383241153045456,0.5785980812722543,0.6476469520350117,0.15972603403229124
0.0,False,0.0,7,47,0.23317450300525883,0.4703602445050625,927.4431754330643,0.6508033033501591,2400,1808,592,0.0,-0.4213479973945529,0.7900933333333333,300,120,0,0.736504386379741,0.5724240327335303,0.6441136561597932,0.16408035364621076
0.0,False,0.0,8,48,0.23313430275740962,0.469321121516712,974.9470727905227,0.661855096303226,2400,1863,537,0.0,-0.4160095682518446,0.77947,300,112,0,0.743888478273441,0.5906514027728748,0.6549422457132299,0.1532370755005662
0.0,False,0.0,9,49,0.23054471891670908,0.4717984397294621,985.885304277932,0.6631040494609414,2400,1859,541,0.0,-0.37037158355165734,0.7890333333333334,300,121,0,0.7398428865934826,0.5884675916645509,0.6577078097406185,0.15137529492893176
0.0,False,0.1,0,50,0.23044510643859512,0.4733865659725617,898.0573428223772,0.6521944740807073,2400,1805,595,0.0,-0.3745559711527047,0.7929466666666666,300,111,0,0.7370191689520202,0.5629749096870803,0.647125477025595,0.17404425926493994
0.0,False,0.1,1,51,0.2326379351476934,0.4686157364043091,926.1853998777445,0.6595804454793156,2400,1848,552,0.0,-0.40669116485322643,0.78363,300,97,0,0.7371855703041711,0.5946525470995813,0.6527164736316423,0.14253302320458983
0.0,False,0.1,2,52,0.23121991831005334,0.47193879946297973,908.3793502450239,0.65472820515306,2400,1820,580,0.0,-0.4834327292300459,0.7837233333333333,300,120,0,0.7379351300828656,0.5673328570444102,0.649739533248252,0.17060227303845543
0.0,False,0.1,3,53,0.2348150190388242,0.4683684692289859,894.8691002680033,0.6535571624616009,2400,1828,572,0.0,-0.47107285924149955,0.7905266666666666,300,118,0,0.7443917851370785,0.5663972745430079,0.6470115563156511,0.17799451059407057
0.0,False,0.1,4,54,0.23264221612295571,0.4693651839627594,936.3838951475836,0.6621417551387258,2400,1862,538,0.0,-0.4046549248061356,0.7791133333333333,300,125,0,0.7478095697462938,0.5825893598684846,0.6556151782532442,0.16522020987780917
0.0,False,0.1,5,55,0.23231693504887485,0.47074092197544665,915.6846087002555,0.6568628062360721,2400,1835,565,0.0,-0.4140397527535605,0.7893033333333334,300,113,0,0.7415756193960309,0.5767527480588471,0.650601584694377,0.16482287133718376
0.0,False,0.1,6,56,0.22898608106478502,0.4719516569214314,947.3896296769958,0.6634482704618722,2400,1853,547,0.0,-0.37418564500037704,0.7871333333333332,300,122,0,0.7459776294010703,0.5790795692441179,0.6581915588363998,0.1668980601569524
0.0,False,0.1,7,57,0.23338869341017018,0.468673842571318,902.6454389461907,0.6547154266759276,2400,1827,573,0.0,-0.36904550201995123,0.7926533333333333,300,112,0,0.7306413527528842,0.5899802308362931,0.6481616009058209,0.14066112191659108
0.0,False,0.1,8,58,0.23117832720462414,0.47412745116385974,952.9388531953074,0.6637234211207202,2400,1868,532,0.0,-0.4148976590554385,0.7982866666666666,300,122,0,0.7418368849198198,0.5859547600095046,0.6584698831757291,0.15588212491031517
0.0,False,0.1,9,59,0.23287179582950993,0.46952198151358926,917.3788816409755,0.6573774409916886,2400,1839,561,0.0,-0.3794858148264745,0.7851533333333333,300,134,0,0.737476827235647,0.5852638647203505,0.650972707245742,0.15221296251529648
0.0,False,0.2,0,60,0.2337338957248257,0.47034753982583266,861.221390154557,0.6539706291417567,2400,1827,573,0.0,-0.4150881393538441,0.7879333333333333,300,115,0,0.7364946517758183,0.5786321512125449,0.647510955005506,0.15786250056327344
0.0,False,0.2,1,61,0.2332279058816443,0.4681679219602833,857.4551948850533,0.6534364430104705,2400,1819,581,0.0,-0.37402692236825813,0.7989733333333333,300,116,0,0.7328658078990828,0.574707529374804,0.6480477585175035,0.15815827852427888
0.0,False,0.2,2,62,0.237079852590828,0.4660051511262745,856.8256070762369,0.6541856121463746,2400,1840,560,0.0,-0.4690870256268399,0.7928933333333333,300,105,0,0.7354877344962464,0.5937348735989432,0.645985286149391,0.1417528608973032
0.0,False,0.2,3,63,0.23324910945492836,0.4680875822905634,866.5724180793362,0.655775126243684,2400,1831,569,0.0,-0.33657805765355786,0.8033633333333334,300,120,0,0.7406196814470759,0.5770239206477746,0.6493063759491267,0.16359576079930127
0.0,False,0.2,4,64,0.2327253408143734,0.46968800106493935,862.1673388538792,0.654158132262487,2400,1822,578,0.0,-0.4247270548896693,0.78952,300,119,0,0.7371417102469107,0.5773961256503493,0.6477963508805539,0.1597455845965614
0.0,False,0.2,5,65,0.23672240831627422,0.46584745983281,863.6115238033929,0.6555503665973884,2400,1845,555,0.0,-0.3302221465290632,0.79869,300,125,0,0.7369848638173303,0.5955092582689457,0.6472689482638592,0.14147560554838456
0.0,False,0.2,6,66,0.23168701120544052,0.4710663124714792,887.9319648593669,0.6593789040355299,2400,1845,555,0.0,-0.3937197985895506,0.79235,300,111,0,0.7413638502904021,0.5840989334499338,0.6530192441959684,0.15726491684046828
0.0,False,0.2,7,67,0.23184657227927427,0.4706159581149825,901.6524706718479,0.6622648371448546,2400,1860,540,0.0,-0.4063757840163742,0.78386,300,107,0,0.7424817514692028,0.5836042702908065,0.6567095298605248,0.15887748117839628
0.0,False,0.2,8,68,0.23377185580127594,0.4688740582689056,845.8956938990007,0.6513539999228422,2400,1812,588,0.0,-0.3910325867874872,0.7987366666666667,300,105,0,0.7345585138842599,0.5757709648058092,0.6447908351461631,0.1587875490784506
0.0,False,0.2,9,69,0.23153943743442412,0.4712330757502641,863.7126096860891,0.6543828888110328,2400,1819,581,0.0,-0.41286052829113623,0.7904433333333334,300,106,0,0.738438980946669,0.5697323005814824,0.6488584154811788,0.16870668036518666
0.0,False,0.4,0,70,0.23311941375466136,0.46935966529348355,775.0547452309077,0.6534520004660801,2400,1820,580,0.0,-0.32161318831300933,0.7927766666666667,300,113,0,0.7422755817703784,0.5645571287151495,0.6475399337720111,0.17771845305522893
0.0,False,0.4,1,71,0.23280419094318325,0.46902253143362316,822.8220093890524,0.6612748873747235,2400,1858,542,0.0,-0.48477772038760203,0.7816500000000001,300,116,0,0.7337368921629336,0.5965522368226314,0.6554121731573604,0.13718465534030222
0.0,False,0.4,2,72,0.23245270588776737,0.4703482903598946,799.5070746310362,0.6574074027862906,2400,1838,562,0.0,-0.44240259308953217,0.7916333333333334,300,122,0,0.7427155585320976,0.5752062258672078,0.6513059285596737,0.16750933266488977
0.0,False,0.4,3,73,0.23186791135795365,0.46954583802304684,798.8827355485814,0.6577888167066304,2400,1836,564,0.0,-0.436644511981003,0.7924766666666666,300,111,0,0.740478004561629,0.582307495565254,0.6513151552878141,0.15817050899637508
0.0,False,0.4,4,74,0.23489720498764993,0.4695626926789708,785.9047729550598,0.6545599111108423,2400,1835,565,0.0,-0.4251939335883357,0.7851233333333334,300,108,0,0.7366314679013786,0.5763242563760962,0.6485770203840346,0.16030721152528238
0.0,False,0.4,5,75,0.23606822308636852,0.4655075781946307,765.6748641536327,0.6525978811287491,2400,1826,574,0.0,-0.26742628885530384,0.7963366666666667,300,106,0,0.7370840336927686,0.5817096791679879,0.64515241087738,0.15537435452478077
0.0,False,0.4,6,76,0.23475899243577622,0.4662990112840651,823.6299026650124,0.662266642572326,2400,1870,530,0.0,-0.4174127255777809,0.78957,300,120,0,0.7384629282080583,0.6009978794417957,0.6551965538625837,0.13746504876626253
0.0,False,0.4,7,77,0.2327590589454062,0.46894728386043627,800.5492866001102,0.6578199081538254,2400,1840,560,0.0,-0.4730935514548534,0.8021199999999999,300,136,0,0.7366941839895694,0.5887444007812856,0.6512551206363485,0.14794978320828378
0.0,False,0.4,8,78,0.22903652651984832,0.4734058045430417,819.2211251965266,0.6606993715053349,2400,1841,559,0.0,-0.3961349682723983,0.7976633333333334,300,137,0,0.7441201767066534,0.5777397419402311,0.6550764944070849,0.16638043476642228
0.0,False,0.4,9,79,0.2304016346344204,0.4726456480819922,799.6663294645759,0.6571480882594056,2400,1829,571,0.0,-0.4105786720716336,0.7767333333333334,300,109,0,0.7387831493145147,0.5743409142983963,0.6518620325765184,0.16444223501611843
0.1,True,0.0,0,80,0.2357577824962184,0.46710074260736584,929.7462830676785,0.651943413968594,2400,1823,577,0.0,-0.37921677771896767,0.7907633333333334,300,117,53,0.7341709478056855,0.5916965689574035,0.6435308198693345,0.14247437884828196
0.1,True,0.0,1,81,0.2326024732879896,0.46901182681125636,979.5095394288336,0.66362866003002,2400,1869,531,0.0,-0.3345484687470781,0.7946799999999999,300,94,51,0.7423862418409575,0.5977091825107329,0.6566664073370706,0.14467705933022457
0.1,True,0.0,2,82,0.23244087930492727,0.46806930996429097,980.0246771317825,0.663413699228018,2400,1866,534,0.0,-0.4181831163917198,0.7839733333333334,300,106,57,0.7442544296783186,0.5865612536164755,0.6574925458861636,0.15769317606184308
0.1,True,0.0,3,83,0.2324969170079091,0.4692567254842664,939.5689383270299,0.6533172797909195,2400,1816,584,0.0,-0.4092186452860564,0.7752266666666667,300,105,54,0.7394528480398838,0.5735168686200977,0.6467302209639029,0.1659359794197861
0.1,True,0.0,4,84,0.23254640692445455,0.46939917514743124,971.8114040264013,0.6610564467087944,2400,1856,544,0.0,-0.43685412538895907,0.78938,300,107,64,0.7410344966446001,0.5947447415636661,0.6539023974076503,0.146289755080934
0.1,True,0.0,5,85,0.23434989663981773,0.46922010870893677,939.8341045335574,0.6538193107845522,2400,1828,572,0.0,-0.4585721218290901,0.7904633333333334,300,109,64,0.7387028063003994,0.5840696377343711,0.6461425680880738,0.15463316856602827
0.1,True,0.0,6,86,0.23146241716959726,0.46976949912657456,988.7658511880157,0.6649925557312536,2400,1871,529,0.0,-0.4587137193802378,0.7886433333333333,300,109,39,0.747389982191898,0.5913051628566947,0.6583380561557326,0.15608481933520335
0.1,True,0.0,7,87,0.23381593136009657,0.4674263797576367,919.0247731761215,0.6493274737004943,2400,1800,600,0.0,-0.4007771716649413,0.7891466666666667,300,112,53,0.7349556672076417,0.5770287600041667,0.6418416634919084,0.15792690720347502
0.1,True,0.0,8,88,0.2342998345450933,0.4669267694894545,959.2749561385338,0.6596688782166763,2400,1855,545,0.0,-0.38624751739722474,0.7813633333333333,300,110,58,0.7448122598240049,0.5916363706603469,0.6517112029027213,0.15317588916365799
0.1,True,0.0,9,89,0.23318866070112768,0.4694615135779418,970.6192802705806,0.6611824987438354,2400,1860,540,0.0,-0.465019341267719,0.7951433333333333,300,113,60,0.7438940293988968,0.5806467911263619,0.6553782869618195,0.16324723827253496
0.1,True,0.1,0,90,0.23645839765653928,0.4660982543148045,927.3069616090563,0.6611941940001682,2400,1873,527,0.0,-0.42738740105389467,0.78967,300,117,48,0.749170012954511,0.5900453969388155,0.6530855364841467,0.1591246160156955
0.1,True,0.1,1,91,0.2327873737684077,0.47009694562294,924.7465851797198,0.6588944550109732,2400,1847,553,0.0,-0.5017725586929955,0.7831266666666666,300,124,64,0.7411655033507535,0.5782068552076137,0.6531985919834651,0.16295864814313976
0.1,True,0.1,2,92,0.2356437625454092,0.46586275414716255,913.9829798176125,0.6581783514052167,2400,1853,547,0.0,-0.366677349988377,0.7810166666666667,300,102,46,0.7379895913946934,0.5920196644424963,0.6510372616690174,0.14596992695219713
0.1,True,0.1,3,93,0.23268096045964554,0.4685665782345422,938.1059381749193,0.6620867955118469,2400,1861,539,0.0,-0.4410665505510464,0.7885733333333333,300,109,41,0.7324346332903893,0.5974421332648934,0.6566365162557322,0.1349925000254959
0.1,True,0.1,4,94,0.22937938165043367,0.4753591055277472,921.127244889923,0.656336366728937,2400,1823,577,0.0,-0.39698865273025313,0.79333,300,117,59,0.7475012000616876,0.5615576410954936,0.6507405634801795,0.18594355896619408
0.1,True,0.1,5,95,0.23329053212688125,0.4691371811951316,936.0343676056726,0.6619354974062059,2400,1864,536,0.0,-0.3773297494341324,0.7916866666666666,300,115,57,0.7399327404446451,0.5944861729818584,0.6553292920550978,0.14544656746278672
0.1,True,0.1,6,96,0.23210124106393087,0.47082971064784046,930.9245201745879,0.6600002835792724,2400,1850,550,0.0,-0.37503763597983525,0.7852866666666667,300,116,40,0.7427707877347682,0.575299792880431,0.6547395815080187,0.16747099485433725
0.1,True,0.1,7,97,0.23436095664344542,0.4691631600828381,907.9199215668469,0.6559721546871912,2400,1839,561,0.0,-0.44674239235106,0.7946799999999999,300,117,42,0.7448714097285621,0.577130042786239,0.6487045852657106,0.1677413669423231
0.1,True,0.1,8,98,0.22919830628256135,0.47482597139668126,908.5242313307568,0.65328226579676,2400,1806,594,0.0,-0.31479710232362923,0.7966599999999999,300,108,62,0.7365817240971061,0.5715836537106099,0.6475155224148442,0.16499807038649617
0.1,True,0.1,9,99,0.23462112141976596,0.4681401001102206,929.0377203215112,0.6606325311805722,2400,1863,537,0.0,-0.4418621731820504,0.7849633333333333,300,96,46,0.7385998324337139,0.5896667883602752,0.6545011699726502,0.14893304407343866
0.1,True,0.2,0,100,0.2321084456470817,0.47031624500761704,873.1806141755383,0.6563874112656958,2400,1831,569,0.0,-0.38444678220107603,0.7928566666666667,300,116,58,0.7357495196272353,0.5817502023944564,0.6504666174428864,0.15399931723277893
0.1,True,0.2,1,101,0.2336480201357636,0.4684228429219913,860.3694439135194,0.6541256737475092,2400,1825,575,0.0,-0.3260699616640232,0.7972233333333333,300,123,53,0.7379900140590091,0.5836299034730803,0.6467522417217999,0.1543601105859288
0.1,True,0.2,2,102,0.23090204722899926,0.47290327883802064,889.2583928395683,0.6589508974083118,2400,1841,559,0.0,-0.42371290097066744,0.7949900000000001,300,100,68,0.7447721827526916,0.5709304546924149,0.653522699368222,0.17384172806027676
0.1,True,0.2,3,103,0.2314930764488911,0.47070127121123867,874.1560811762365,0.6565192461087683,2400,1829,571,0.0,-0.4238097906820492,0.7948533333333333,300,119,56,0.7428676977759596,0.5751586705123576,0.6500976325215182,0.16770902726360204
0.1,True,0.2,4,104,0.23185186856119208,0.4711163022751343,914.6151943986991,0.6645025449382783,2400,1872,528,0.0,-0.40263846245463397,0.7917533333333334,300,112,66,0.7377972608077354,0.5985853985344345,0.6586325546182328,0.13921186227330096
0.1,True,0.2,5,105,0.2310210323844649,0.46947582360683066,920.6402039364435,0.666085516275038,2400,1874,526,0.0,-0.4113079659306795,0.7860266666666667,300,112,69,0.7363947814010419,0.6084628250866919,0.6597066887416168,0.12793195631434995
0.1,True,0.2,6,106,0.23281038715094596,0.46963210809314865,864.5727265456459,0.6548692669967761,2400,1826,574,0.0,-0.33911010075764886,0.7820933333333333,300,116,68,0.73606799847267,0.5833113860480399,0.648170571494762,0.15275661242463012
0.1,True,0.2,7,107,0.23263551925097012,0.469621678243507,871.8762153852213,0.6562206835647333,2400,1832,568,0.0,-0.32963252259015596,0.7950033333333334,300,114,65,0.7314335201120071,0.5915529689698678,0.6498004782012605,0.13988055114213938
0.1,True,0.2,8,108,0.2305590478226521,0.4734537990983013,862.3285937463612,0.6530502265656821,2400,1810,590,0.0,-0.43592102939815636,0.7869566666666666,300,105,46,0.7359667765719557,0.5644240599545812,0.6482837387792408,0.17154271661737452
